Time(min)   ;PC_10mm(MPa);Time(min)   ;PC_20mm(MPa);Time(min)   ;PC_30mm(MPa);Time(min)   ;PC_40mm(MPa);Time(min)   ;PC_50mm(MPa);
 0.0000E+000; 9.8569E+001; 0.0000E+000; 1.0218E+002; 0.0000E+000; 1.0527E+002; 0.0000E+000; 1.0763E+002; 0.0000E+000; 1.0912E+002;
 1.0000E+000; 1.0785E+002; 1.0000E+000; 1.0290E+002; 1.0000E+000; 1.0532E+002; 1.0000E+000; 1.0764E+002; 1.0000E+000; 1.0912E+002;
 2.0000E+000; 1.1273E+002; 2.0000E+000; 1.0280E+002; 2.0000E+000; 1.0529E+002; 2.0000E+000; 1.0763E+002; 2.0000E+000; 1.0912E+002;
 3.0000E+000; 1.0970E+002; 3.0000E+000; 1.0176E+002; 3.0000E+000; 1.0504E+002; 3.0000E+000; 1.0759E+002; 3.0000E+000; 1.0911E+002;
 4.0000E+000; 1.0418E+002; 4.0000E+000; 1.0037E+002; 4.0000E+000; 1.0461E+002; 4.0000E+000; 1.0748E+002; 4.0000E+000; 1.0909E+002;
 5.0000E+000; 9.8623E+001; 5.0000E+000; 9.8936E+001; 5.0000E+000; 1.0405E+002; 5.0000E+000; 1.0729E+002; 5.0000E+000; 1.0904E+002;
 6.0000E+000; 9.3564E+001; 6.0000E+000; 9.7538E+001; 6.0000E+000; 1.0340E+002; 6.0000E+000; 1.0703E+002; 6.0000E+000; 1.0896E+002;
 7.0000E+000; 8.9055E+001; 7.0000E+000; 9.6204E+001; 7.0000E+000; 1.0268E+002; 7.0000E+000; 1.0671E+002; 7.0000E+000; 1.0883E+002;
 8.0000E+000; 8.5050E+001; 8.0000E+000; 9.4932E+001; 8.0000E+000; 1.0193E+002; 8.0000E+000; 1.0633E+002; 8.0000E+000; 1.0867E+002;
 9.0000E+000; 8.1436E+001; 9.0000E+000; 9.3712E+001; 9.0000E+000; 1.0117E+002; 9.0000E+000; 1.0589E+002; 9.0000E+000; 1.0846E+002;
 1.0000E+001; 7.8148E+001; 1.0000E+001; 9.2540E+001; 1.0000E+001; 1.0041E+002; 1.0000E+001; 1.0540E+002; 1.0000E+001; 1.0823E+002;
 1.1000E+001; 7.5139E+001; 1.1000E+001; 9.1410E+001; 1.1000E+001; 9.9661E+001; 1.1000E+001; 1.0487E+002; 1.1000E+001; 1.0795E+002;
 1.2000E+001; 7.2357E+001; 1.2000E+001; 9.0317E+001; 1.2000E+001; 9.8917E+001; 1.2000E+001; 1.0433E+002; 1.2000E+001; 1.0764E+002;
 1.3000E+001; 6.9754E+001; 1.3000E+001; 8.9258E+001; 1.3000E+001; 9.8177E+001; 1.3000E+001; 1.0379E+002; 1.3000E+001; 1.0729E+002;
 1.4000E+001; 6.7290E+001; 1.4000E+001; 8.8231E+001; 1.4000E+001; 9.7441E+001; 1.4000E+001; 1.0326E+002; 1.4000E+001; 1.0691E+002;
 1.5000E+001; 6.4940E+001; 1.5000E+001; 8.7235E+001; 1.5000E+001; 9.6710E+001; 1.5000E+001; 1.0272E+002; 1.5000E+001; 1.0651E+002;
 1.6000E+001; 6.2678E+001; 1.6000E+001; 8.6264E+001; 1.6000E+001; 9.5983E+001; 1.6000E+001; 1.0218E+002; 1.6000E+001; 1.0610E+002;
 1.7000E+001; 6.0488E+001; 1.7000E+001; 8.5314E+001; 1.7000E+001; 9.5260E+001; 1.7000E+001; 1.0164E+002; 1.7000E+001; 1.0570E+002;
 1.8000E+001; 5.8353E+001; 1.8000E+001; 8.4374E+001; 1.8000E+001; 9.4541E+001; 1.8000E+001; 1.0110E+002; 1.8000E+001; 1.0530E+002;
 1.9000E+001; 5.6256E+001; 1.9000E+001; 8.3433E+001; 1.9000E+001; 9.3825E+001; 1.9000E+001; 1.0056E+002; 1.9000E+001; 1.0490E+002;
 2.0000E+001; 5.4173E+001; 2.0000E+001; 8.2480E+001; 2.0000E+001; 9.3112E+001; 2.0000E+001; 1.0002E+002; 2.0000E+001; 1.0449E+002;
 2.1000E+001; 5.2093E+001; 2.1000E+001; 8.1511E+001; 2.1000E+001; 9.2400E+001; 2.1000E+001; 9.9483E+001; 2.1000E+001; 1.0409E+002;
 2.2000E+001; 5.0025E+001; 2.2000E+001; 8.0524E+001; 2.2000E+001; 9.1688E+001; 2.2000E+001; 9.8942E+001; 2.2000E+001; 1.0369E+002;
 2.3000E+001; 4.8028E+001; 2.3000E+001; 7.9527E+001; 2.3000E+001; 9.0976E+001; 2.3000E+001; 9.8402E+001; 2.3000E+001; 1.0328E+002;
 2.4000E+001; 4.6218E+001; 2.4000E+001; 7.8540E+001; 2.4000E+001; 9.0260E+001; 2.4000E+001; 9.7862E+001; 2.4000E+001; 1.0287E+002;
