Time(min)   ;PG_00mm(MPa);Time(min)   ;PG_10mm(MPa);Time(min)   ;PG_20mm(MPa);Time(min)   ;PG_30mm(MPa);Time(min)   ;PG_40mm(MPa);Time(min)   ;PG_50mm(MPa);Time(min)   ;PG_120mm(MPa;
 0.0000E+000; 1.0132E-001; 0.0000E+000; 1.0021E-001; 0.0000E+000; 9.9308E-002; 0.0000E+000; 9.8618E-002; 0.0000E+000; 9.8130E-002; 0.0000E+000; 9.7840E-002; 0.0000E+000; 1.0132E-001;
 1.0000E+000; 1.0132E-001; 1.0000E+000; 8.9658E-002; 1.0000E+000; 9.9113E-002; 1.0000E+000; 9.8609E-002; 1.0000E+000; 9.8129E-002; 1.0000E+000; 9.7840E-002; 1.0000E+000; 1.0132E-001;
 2.0000E+000; 1.0132E-001; 2.0000E+000; 8.5300E-002; 2.0000E+000; 9.7002E-002; 2.0000E+000; 9.8510E-002; 2.0000E+000; 9.8122E-002; 2.0000E+000; 9.7839E-002; 2.0000E+000; 1.0132E-001;
 3.0000E+000; 1.0132E-001; 3.0000E+000; 9.9239E-002; 3.0000E+000; 9.0025E-002; 3.0000E+000; 9.7992E-002; 3.0000E+000; 9.8066E-002; 3.0000E+000; 9.7833E-002; 3.0000E+000; 1.0132E-001;
 4.0000E+000; 1.0132E-001; 4.0000E+000; 1.1748E-001; 4.0000E+000; 8.2655E-002; 4.0000E+000; 9.5953E-002; 4.0000E+000; 9.7880E-002; 4.0000E+000; 9.7803E-002; 4.0000E+000; 1.0132E-001;
 5.0000E+000; 1.0132E-001; 5.0000E+000; 1.3759E-001; 5.0000E+000; 7.8024E-002; 5.0000E+000; 9.1369E-002; 5.0000E+000; 9.7344E-002; 5.0000E+000; 9.7724E-002; 5.0000E+000; 1.0132E-001;
 6.0000E+000; 1.0132E-001; 6.0000E+000; 1.5959E-001; 6.0000E+000; 7.6591E-002; 6.0000E+000; 8.4242E-002; 6.0000E+000; 9.6029E-002; 6.0000E+000; 9.7547E-002; 6.0000E+000; 1.0132E-001;
 7.0000E+000; 1.0132E-001; 7.0000E+000; 1.8385E-001; 7.0000E+000; 7.7906E-002; 7.0000E+000; 7.5907E-002; 7.0000E+000; 9.3335E-002; 7.0000E+000; 9.7168E-002; 7.0000E+000; 1.0132E-001;
 8.0000E+000; 1.0132E-001; 8.0000E+000; 2.1083E-001; 8.0000E+000; 8.1508E-002; 8.0000E+000; 6.8312E-002; 8.0000E+000; 8.8660E-002; 8.0000E+000; 9.6401E-002; 8.0000E+000; 1.0132E-001;
 9.0000E+000; 1.0132E-001; 9.0000E+000; 2.4130E-001; 9.0000E+000; 8.7125E-002; 9.0000E+000; 6.2740E-002; 9.0000E+000; 8.1778E-002; 9.0000E+000; 9.4944E-002; 9.0000E+000; 1.0132E-001;
 1.0000E+001; 1.0132E-001; 1.0000E+001; 2.7601E-001; 1.0000E+001; 9.4726E-002; 1.0000E+001; 5.9501E-002; 1.0000E+001; 7.3349E-002; 1.0000E+001; 9.2381E-002; 1.0000E+001; 1.0132E-001;
 1.1000E+001; 1.0132E-001; 1.1000E+001; 3.1542E-001; 1.1000E+001; 1.0438E-001; 1.1000E+001; 5.8404E-002; 1.1000E+001; 6.4876E-002; 1.1000E+001; 8.8245E-002; 1.1000E+001; 1.0132E-001;
 1.2000E+001; 1.0132E-001; 1.2000E+001; 3.5996E-001; 1.2000E+001; 1.1620E-001; 1.2000E+001; 5.9138E-002; 1.2000E+001; 5.7811E-002; 1.2000E+001; 8.2247E-002; 1.2000E+001; 1.0132E-001;
 1.3000E+001; 1.0132E-001; 1.3000E+001; 4.1034E-001; 1.3000E+001; 1.3045E-001; 1.3000E+001; 6.1458E-002; 1.3000E+001; 5.2781E-002; 1.3000E+001; 7.4653E-002; 1.3000E+001; 1.0132E-001;
 1.4000E+001; 1.0132E-001; 1.4000E+001; 4.6686E-001; 1.4000E+001; 1.4755E-001; 1.4000E+001; 6.5260E-002; 1.4000E+001; 4.9749E-002; 1.4000E+001; 6.6455E-002; 1.4000E+001; 1.0132E-001;
 1.5000E+001; 1.0132E-001; 1.5000E+001; 5.2954E-001; 1.5000E+001; 1.6785E-001; 1.5000E+001; 7.0521E-002; 1.5000E+001; 4.8433E-002; 1.5000E+001; 5.8940E-002; 1.5000E+001; 1.0132E-001;
 1.6000E+001; 1.0132E-001; 1.6000E+001; 5.9832E-001; 1.6000E+001; 1.9179E-001; 1.6000E+001; 7.7288E-002; 1.6000E+001; 4.8542E-002; 1.6000E+001; 5.2974E-002; 1.6000E+001; 1.0132E-001;
 1.7000E+001; 1.0132E-001; 1.7000E+001; 6.7273E-001; 1.7000E+001; 2.1998E-001; 1.7000E+001; 8.5682E-002; 1.7000E+001; 4.9864E-002; 1.7000E+001; 4.8774E-002; 1.7000E+001; 1.0132E-001;
 1.8000E+001; 1.0132E-001; 1.8000E+001; 7.5187E-001; 1.8000E+001; 2.5330E-001; 1.8000E+001; 9.5950E-002; 1.8000E+001; 5.2288E-002; 1.8000E+001; 4.6184E-002; 1.8000E+001; 1.0132E-001;
 1.9000E+001; 1.0132E-001; 1.9000E+001; 8.3529E-001; 1.9000E+001; 2.9236E-001; 1.9000E+001; 1.0839E-001; 1.9000E+001; 5.5789E-002; 1.9000E+001; 4.4954E-002; 1.9000E+001; 1.0132E-001;
 2.0000E+001; 1.0132E-001; 2.0000E+001; 9.2191E-001; 2.0000E+001; 3.3773E-001; 2.0000E+001; 1.2334E-001; 2.0000E+001; 6.0391E-002; 2.0000E+001; 4.4859E-002; 2.0000E+001; 1.0132E-001;
 2.1000E+001; 1.0132E-001; 2.1000E+001; 1.0101E+000; 2.1000E+001; 3.8968E-001; 2.1000E+001; 1.4121E-001; 2.1000E+001; 6.6167E-002; 2.1000E+001; 4.5735E-002; 2.1000E+001; 1.0132E-001;
 2.2000E+001; 1.0132E-001; 2.2000E+001; 1.0976E+000; 2.2000E+001; 4.4794E-001; 2.2000E+001; 1.6251E-001; 2.2000E+001; 7.3233E-002; 2.2000E+001; 4.7481E-002; 2.2000E+001; 1.0132E-001;
 2.3000E+001; 1.0132E-001; 2.3000E+001; 1.1813E+000; 2.3000E+001; 5.1106E-001; 2.3000E+001; 1.8778E-001; 2.3000E+001; 8.1765E-002; 2.3000E+001; 5.0052E-002; 2.3000E+001; 1.0132E-001;
 2.4000E+001; 1.0132E-001; 2.4000E+001; 1.2590E+000; 2.4000E+001; 5.7663E-001; 2.4000E+001; 2.1726E-001; 2.4000E+001; 9.1945E-002; 2.4000E+001; 5.3441E-002; 2.4000E+001; 1.0132E-001;
 2.5000E+001; 1.0132E-001; 2.5000E+001; 1.3289E+000; 2.5000E+001; 6.4183E-001; 2.5000E+001; 2.5085E-001; 2.5000E+001; 1.0393E-001; 2.5000E+001; 5.7659E-002; 2.5000E+001; 1.0132E-001;
 2.6000E+001; 1.0132E-001; 2.6000E+001; 1.3909E+000; 2.6000E+001; 7.0421E-001; 2.6000E+001; 2.8794E-001; 2.6000E+001; 1.1786E-001; 2.6000E+001; 6.2724E-002; 2.6000E+001; 1.0132E-001;
 2.7000E+001; 1.0132E-001; 2.7000E+001; 1.4460E+000; 2.7000E+001; 7.6209E-001; 2.7000E+001; 3.2762E-001; 2.7000E+001; 1.3379E-001; 2.7000E+001; 6.8661E-002; 2.7000E+001; 1.0132E-001;
 2.8000E+001; 1.0132E-001; 2.8000E+001; 1.4953E+000; 2.8000E+001; 8.1440E-001; 2.8000E+001; 3.6903E-001; 2.8000E+001; 1.5176E-001; 2.8000E+001; 7.5500E-002; 2.8000E+001; 1.0132E-001;
 2.9000E+001; 1.0132E-001; 2.9000E+001; 1.5399E+000; 2.9000E+001; 8.6164E-001; 2.9000E+001; 4.1066E-001; 2.9000E+001; 1.7171E-001; 2.9000E+001; 8.3281E-002; 2.9000E+001; 1.0132E-001;
