Time(min)   ;PG_10mm(MPa);Time(min)   ;PG_20mm(MPa);Time(min)   ;PG_30mm(MPa);Time(min)   ;PG_40mm(MPa);Time(min)   ;PG_50mm(MPa);
 0.0000E+000; 1.0021E-001; 0.0000E+000; 9.9308E-002; 0.0000E+000; 9.8618E-002; 0.0000E+000; 9.8130E-002; 0.0000E+000; 9.7840E-002;
 5.0000E+000; 1.3759E-001; 5.0000E+000; 7.8024E-002; 5.0000E+000; 9.1369E-002; 5.0000E+000; 9.7344E-002; 5.0000E+000; 9.7724E-002;
 1.0000E+001; 2.7601E-001; 1.0000E+001; 9.4726E-002; 1.0000E+001; 5.9501E-002; 1.0000E+001; 7.3349E-002; 1.0000E+001; 9.2381E-002;
 1.5000E+001; 5.2954E-001; 1.5000E+001; 1.6785E-001; 1.5000E+001; 7.0521E-002; 1.5000E+001; 4.8433E-002; 1.5000E+001; 5.8940E-002;
 2.0000E+001; 9.2191E-001; 2.0000E+001; 3.3773E-001; 2.0000E+001; 1.2334E-001; 2.0000E+001; 6.0391E-002; 2.0000E+001; 4.4859E-002;
 2.5000E+001; 1.3289E+000; 2.5000E+001; 6.4183E-001; 2.5000E+001; 2.5085E-001; 2.5000E+001; 1.0393E-001; 2.5000E+001; 5.7659E-002;
 3.0000E+001; 1.5808E+000; 3.0000E+001; 9.0440E-001; 3.0000E+001; 4.5136E-001; 3.0000E+001; 1.9339E-001; 3.0000E+001; 9.2025E-002;
 3.5000E+001; 1.7461E+000; 3.5000E+001; 1.0738E+000; 3.5000E+001; 6.2578E-001; 3.5000E+001; 3.1453E-001; 3.5000E+001; 1.4947E-001;
 4.0000E+001; 1.8166E+000; 4.0000E+001; 1.2165E+000; 4.0000E+001; 7.6016E-001; 4.0000E+001; 4.3144E-001; 4.0000E+001; 2.2310E-001;
 4.5000E+001; 1.7602E+000; 4.5000E+001; 1.3576E+000; 4.5000E+001; 8.7584E-001; 4.5000E+001; 5.3786E-001; 4.5000E+001; 3.0228E-001;
 5.0000E+001; 1.6631E+000; 5.0000E+001; 1.4954E+000; 5.0000E+001; 9.7587E-001; 5.0000E+001; 6.3086E-001; 5.0000E+001; 3.7979E-001;
 5.5000E+001; 1.5608E+000; 5.5000E+001; 1.6301E+000; 5.5000E+001; 1.0661E+000; 5.5000E+001; 7.1003E-001; 5.5000E+001; 4.5023E-001;
 6.0000E+001; 1.4562E+000; 6.0000E+001; 1.7428E+000; 6.0000E+001; 1.1517E+000; 6.0000E+001; 7.7935E-001; 6.0000E+001; 5.1288E-001;
 6.5000E+001; 1.3633E+000; 6.5000E+001; 1.8011E+000; 6.5000E+001; 1.2358E+000; 6.5000E+001; 8.4137E-001; 6.5000E+001; 5.6758E-001;
 7.0000E+001; 1.2819E+000; 7.0000E+001; 1.7894E+000; 7.0000E+001; 1.3212E+000; 7.0000E+001; 8.9808E-001; 7.0000E+001; 6.1462E-001;
 7.5000E+001; 1.2046E+000; 7.5000E+001; 1.7362E+000; 7.5000E+001; 1.4078E+000; 7.5000E+001; 9.5023E-001; 7.5000E+001; 6.5470E-001;
 8.0000E+001; 1.1342E+000; 8.0000E+001; 1.6685E+000; 8.0000E+001; 1.4894E+000; 8.0000E+001; 9.9860E-001; 8.0000E+001; 6.8864E-001;
 8.5000E+001; 1.0703E+000; 8.5000E+001; 1.5920E+000; 8.5000E+001; 1.5536E+000; 8.5000E+001; 1.0432E+000; 8.5000E+001; 7.1676E-001;
 9.0000E+001; 1.0091E+000; 9.0000E+001; 1.5108E+000; 9.0000E+001; 1.5864E+000; 9.0000E+001; 1.0835E+000; 9.0000E+001; 7.3836E-001;
 9.5000E+001; 9.5031E-001; 9.5000E+001; 1.4291E+000; 9.5000E+001; 1.5803E+000; 9.5000E+001; 1.1185E+000; 9.5000E+001; 7.5244E-001;
 1.0000E+002; 8.9162E-001; 1.0000E+002; 1.3445E+000; 1.0000E+002; 1.5383E+000; 1.0000E+002; 1.1441E+000; 1.0000E+002; 7.5700E-001;
 1.0500E+002; 8.3630E-001; 1.0500E+002; 1.2529E+000; 1.0500E+002; 1.4680E+000; 1.0500E+002; 1.1529E+000; 1.0500E+002; 7.4900E-001;
 1.1000E+002; 7.8943E-001; 1.1000E+002; 1.1761E+000; 1.1000E+002; 1.3779E+000; 1.1000E+002; 1.1391E+000; 1.1000E+002; 7.2688E-001;
 1.1500E+002; 7.3991E-001; 1.1500E+002; 1.0981E+000; 1.1500E+002; 1.2793E+000; 1.1500E+002; 1.0929E+000; 1.1500E+002; 6.8766E-001;
 1.2000E+002; 6.9415E-001; 1.2000E+002; 1.0200E+000; 1.2000E+002; 1.1718E+000; 1.2000E+002; 1.0119E+000; 1.2000E+002; 6.3078E-001;
 1.2500E+002; 6.5212E-001; 1.2500E+002; 9.4570E-001; 1.2500E+002; 1.0605E+000; 1.2500E+002; 9.0787E-001; 1.2500E+002; 5.6265E-001;
 1.3000E+002; 6.1962E-001; 1.3000E+002; 8.8817E-001; 1.3000E+002; 9.6587E-001; 1.3000E+002; 8.0983E-001; 1.3000E+002; 5.0003E-001;
 1.3500E+002; 6.0288E-001; 1.3500E+002; 8.9104E-001; 1.3500E+002; 9.6956E-001; 1.3500E+002; 8.0502E-001; 1.3500E+002; 4.9694E-001;
 1.4000E+002; 5.9721E-001; 1.4000E+002; 9.1399E-001; 1.4000E+002; 1.0209E+000; 1.4000E+002; 8.5689E-001; 1.4000E+002; 5.3386E-001;
 1.4500E+002; 5.9763E-001; 1.4500E+002; 9.3521E-001; 1.4500E+002; 1.0737E+000; 1.4500E+002; 9.2084E-001; 1.4500E+002; 5.8028E-001;
 1.5000E+002; 5.9988E-001; 1.5000E+002; 9.5246E-001; 1.5000E+002; 1.1190E+000; 1.5000E+002; 9.8709E-001; 1.5000E+002; 6.2990E-001;
 1.5500E+002; 6.0214E-001; 1.5500E+002; 9.6617E-001; 1.5500E+002; 1.1566E+000; 1.5500E+002; 1.0530E+000; 1.5500E+002; 6.8155E-001;
 1.6000E+002; 6.0377E-001; 1.6000E+002; 9.7693E-001; 1.6000E+002; 1.1877E+000; 1.6000E+002; 1.1168E+000; 1.6000E+002; 7.3510E-001;
 1.6500E+002; 6.0464E-001; 1.6500E+002; 9.8525E-001; 1.6500E+002; 1.2135E+000; 1.6500E+002; 1.1772E+000; 1.6500E+002; 7.9065E-001;
 1.7000E+002; 6.0471E-001; 1.7000E+002; 9.9159E-001; 1.7000E+002; 1.2349E+000; 1.7000E+002; 1.2328E+000; 1.7000E+002; 8.4834E-001;
 1.7500E+002; 6.0374E-001; 1.7500E+002; 9.9625E-001; 1.7500E+002; 1.2525E+000; 1.7500E+002; 1.2829E+000; 1.7500E+002; 9.0814E-001;
 1.8000E+002; 6.0015E-001; 1.8000E+002; 9.9922E-001; 1.8000E+002; 1.2668E+000; 1.8000E+002; 1.3271E+000; 1.8000E+002; 9.6979E-001;
 1.8500E+002; 5.9853E-001; 1.8500E+002; 1.0010E+000; 1.8500E+002; 1.2785E+000; 1.8500E+002; 1.3660E+000; 1.8500E+002; 1.0333E+000;
 1.9000E+002; 5.9737E-001; 1.9000E+002; 1.0021E+000; 1.9000E+002; 1.2872E+000; 1.9000E+002; 1.3985E+000; 1.9000E+002; 1.0967E+000;
 1.9500E+002; 5.9587E-001; 1.9500E+002; 1.0022E+000; 1.9500E+002; 1.2934E+000; 1.9500E+002; 1.4252E+000; 1.9500E+002; 1.1586E+000;
 2.0000E+002; 5.9385E-001; 2.0000E+002; 1.0013E+000; 2.0000E+002; 1.2974E+000; 2.0000E+002; 1.4466E+000; 2.0000E+002; 1.2177E+000;
 2.0500E+002; 5.9123E-001; 2.0500E+002; 9.9930E-001; 2.0500E+002; 1.2994E+000; 2.0500E+002; 1.4634E+000; 2.0500E+002; 1.2728E+000;
 2.1000E+002; 5.8792E-001; 2.1000E+002; 9.9615E-001; 2.1000E+002; 1.2993E+000; 2.1000E+002; 1.4758E+000; 2.1000E+002; 1.3229E+000;
 2.1500E+002; 5.8382E-001; 2.1500E+002; 9.9181E-001; 2.1500E+002; 1.2974E+000; 2.1500E+002; 1.4845E+000; 2.1500E+002; 1.3673E+000;
 2.2000E+002; 5.7866E-001; 2.2000E+002; 9.8613E-001; 2.2000E+002; 1.2937E+000; 2.2000E+002; 1.4899E+000; 2.2000E+002; 1.4057E+000;
 2.2500E+002; 5.7017E-001; 2.2500E+002; 9.7887E-001; 2.2500E+002; 1.2882E+000; 2.2500E+002; 1.4920E+000; 2.2500E+002; 1.4380E+000;
 2.3000E+002; 5.6173E-001; 2.3000E+002; 9.6936E-001; 2.3000E+002; 1.2810E+000; 2.3000E+002; 1.4919E+000; 2.3000E+002; 1.4652E+000;
 2.3500E+002; 5.5575E-001; 2.3500E+002; 9.6043E-001; 2.3500E+002; 1.2725E+000; 2.3500E+002; 1.4893E+000; 2.3500E+002; 1.4874E+000;
 2.4000E+002; 5.4963E-001; 2.4000E+002; 9.5107E-001; 2.4000E+002; 1.2628E+000; 2.4000E+002; 1.4843E+000; 2.4000E+002; 1.5043E+000;
