Time (min)  ;Hyd_00mm    ;Time (min)  ;Hyd_10mm    ;Time (min)  ;Hyd_20mm    ;Time (min)  ;Hyd_30mm    ;Time (min)  ;Hyd_40mm    ;Time (min)  ;Hyd_50mm    ;Time (min)  ;Hyd_120mm   ;
 0.0000E+000; 8.9424E-001; 0.0000E+000; 8.4645E-001; 0.0000E+000; 8.1231E-001; 0.0000E+000; 7.8699E-001; 0.0000E+000; 7.6948E-001; 0.0000E+000; 7.5916E-001; 0.0000E+000; 8.9424E-001;
 1.0000E+000; 8.9424E-001; 1.0000E+000; 8.4645E-001; 1.0000E+000; 8.1231E-001; 1.0000E+000; 7.8699E-001; 1.0000E+000; 7.6948E-001; 1.0000E+000; 7.5916E-001; 1.0000E+000; 8.9424E-001;
 2.0000E+000; 8.9424E-001; 2.0000E+000; 8.4645E-001; 2.0000E+000; 8.1231E-001; 2.0000E+000; 7.8699E-001; 2.0000E+000; 7.6948E-001; 2.0000E+000; 7.5916E-001; 2.0000E+000; 8.9424E-001;
 3.0000E+000; 8.9425E-001; 3.0000E+000; 8.4645E-001; 3.0000E+000; 8.1231E-001; 3.0000E+000; 7.8699E-001; 3.0000E+000; 7.6948E-001; 3.0000E+000; 7.5916E-001; 3.0000E+000; 8.9424E-001;
 4.0000E+000; 8.9425E-001; 4.0000E+000; 8.4645E-001; 4.0000E+000; 8.1231E-001; 4.0000E+000; 7.8699E-001; 4.0000E+000; 7.6948E-001; 4.0000E+000; 7.5916E-001; 4.0000E+000; 8.9424E-001;
 5.0000E+000; 8.9425E-001; 5.0000E+000; 8.4646E-001; 5.0000E+000; 8.1231E-001; 5.0000E+000; 7.8699E-001; 5.0000E+000; 7.6948E-001; 5.0000E+000; 7.5916E-001; 5.0000E+000; 8.9424E-001;
 6.0000E+000; 8.9425E-001; 6.0000E+000; 8.4646E-001; 6.0000E+000; 8.1232E-001; 6.0000E+000; 7.8699E-001; 6.0000E+000; 7.6948E-001; 6.0000E+000; 7.5916E-001; 6.0000E+000; 8.9424E-001;
 7.0000E+000; 8.9425E-001; 7.0000E+000; 8.4648E-001; 7.0000E+000; 8.1232E-001; 7.0000E+000; 7.8699E-001; 7.0000E+000; 7.6948E-001; 7.0000E+000; 7.5917E-001; 7.0000E+000; 8.9424E-001;
 8.0000E+000; 8.9425E-001; 8.0000E+000; 8.4650E-001; 8.0000E+000; 8.1232E-001; 8.0000E+000; 7.8699E-001; 8.0000E+000; 7.6948E-001; 8.0000E+000; 7.5917E-001; 8.0000E+000; 8.9424E-001;
 9.0000E+000; 8.9426E-001; 9.0000E+000; 8.4653E-001; 9.0000E+000; 8.1233E-001; 9.0000E+000; 7.8699E-001; 9.0000E+000; 7.6949E-001; 9.0000E+000; 7.5917E-001; 9.0000E+000; 8.9424E-001;
 1.0000E+001; 8.9426E-001; 1.0000E+001; 8.4657E-001; 1.0000E+001; 8.1233E-001; 1.0000E+001; 7.8700E-001; 1.0000E+001; 7.6949E-001; 1.0000E+001; 7.5917E-001; 1.0000E+001; 8.9424E-001;
