Time (min)  ;Mass Loss (%;
 0.0000E+000; 0.0000E+000;
 5.0000E+000;-1.8044E-004;
 1.0000E+001;-3.6088E-004;
 1.5000E+001;-5.4131E-004;
 2.0000E+001;-7.2175E-004;
 2.5000E+001;-9.0219E-004;
 3.0000E+001;-1.0826E-003;
 3.5000E+001;-1.2631E-003;
 4.0000E+001;-1.4435E-003;
 4.5000E+001;-1.6239E-003;
 5.0000E+001;-1.8044E-003;
 5.5000E+001;-1.9848E-003;
 6.0000E+001;-2.1653E-003;
 6.5000E+001;-2.3470E-003;
 7.0000E+001;-2.5288E-003;
 7.5000E+001;-2.7105E-003;
 8.0000E+001;-2.8923E-003;
 8.5000E+001;-3.0740E-003;
 9.0000E+001;-3.2558E-003;
 9.5000E+001;-3.4375E-003;
 1.0000E+002;-3.6193E-003;
 1.0500E+002;-3.8010E-003;
 1.1000E+002;-3.9828E-003;
 1.1500E+002;-4.1645E-003;
 1.2000E+002;-4.3463E-003;
 1.2500E+002;-4.5294E-003;
 1.3000E+002;-4.7124E-003;
 1.3500E+002;-4.8955E-003;
 1.4000E+002;-5.0786E-003;
 1.4500E+002;-5.2617E-003;
 1.5000E+002;-5.4448E-003;
 1.5500E+002;-5.6278E-003;
 1.6000E+002;-5.8109E-003;
 1.6500E+002;-5.9940E-003;
 1.7000E+002;-6.1771E-003;
 1.7500E+002;-6.3601E-003;
 1.8000E+002;-6.5432E-003;
 1.8500E+002;-6.7276E-003;
 1.9000E+002;-6.9120E-003;
 1.9500E+002;-7.0964E-003;
 2.0000E+002;-7.2808E-003;
 2.0500E+002;-7.4652E-003;
 2.1000E+002;-7.6496E-003;
 2.1500E+002;-7.8340E-003;
 2.2000E+002;-8.0184E-003;
 2.2500E+002;-8.2029E-003;
 2.3000E+002;-8.3873E-003;
 2.3500E+002;-8.5717E-003;
 2.4000E+002;-8.7561E-003;
