Time(min)   ;T_00mm      ;Time(min)   ;T_10mm      ;Time(min)   ;T_20mm      ;Time(min)   ;T_30mm      ;Time(min)   ;T_40mm      ;Time(min)   ;T_50mm      ;Time(min)   ;T_120mm     ;
 0.0000E+000; 2.0000E+001; 0.0000E+000; 2.0000E+001; 0.0000E+000; 2.0000E+001; 0.0000E+000; 2.0000E+001; 0.0000E+000; 2.0000E+001; 0.0000E+000; 2.0000E+001; 0.0000E+000; 2.0000E+001;
 1.0000E+000; 4.0532E+001; 1.0000E+000; 2.2948E+001; 1.0000E+000; 2.0110E+001; 1.0000E+000; 2.0000E+001; 1.0000E+000; 2.0000E+001; 1.0000E+000; 2.0000E+001; 1.0000E+000; 1.8192E+001;
 2.0000E+000; 4.6430E+001; 2.0000E+000; 2.7773E+001; 2.0000E+000; 2.1399E+001; 2.0000E+000; 2.0153E+001; 2.0000E+000; 2.0011E+001; 2.0000E+000; 2.0001E+001; 2.0000E+000; 1.7602E+001;
 3.0000E+000; 5.0604E+001; 3.0000E+000; 3.1748E+001; 3.0000E+000; 2.3302E+001; 3.0000E+000; 2.0664E+001; 3.0000E+000; 2.0097E+001; 3.0000E+000; 2.0011E+001; 3.0000E+000; 1.7205E+001;
 4.0000E+000; 5.4031E+001; 4.0000E+000; 3.5107E+001; 4.0000E+000; 2.5358E+001; 4.0000E+000; 2.1479E+001; 4.0000E+000; 2.0317E+001; 4.0000E+000; 2.0054E+001; 4.0000E+000; 1.6907E+001;
 5.0000E+000; 5.7039E+001; 5.0000E+000; 3.8052E+001; 5.0000E+000; 2.7404E+001; 5.0000E+000; 2.2490E+001; 5.0000E+000; 2.0682E+001; 5.0000E+000; 2.0152E+001; 5.0000E+000; 1.6671E+001;
 6.0000E+000; 5.9800E+001; 6.0000E+000; 4.0713E+001; 6.0000E+000; 2.9389E+001; 6.0000E+000; 2.3615E+001; 6.0000E+000; 2.1173E+001; 6.0000E+000; 2.0319E+001; 6.0000E+000; 1.6476E+001;
 7.0000E+000; 6.2408E+001; 7.0000E+000; 4.3174E+001; 7.0000E+000; 3.1305E+001; 7.0000E+000; 2.4806E+001; 7.0000E+000; 2.1765E+001; 7.0000E+000; 2.0556E+001; 7.0000E+000; 1.6313E+001;
 8.0000E+000; 6.4916E+001; 8.0000E+000; 4.5492E+001; 8.0000E+000; 3.3156E+001; 8.0000E+000; 2.6032E+001; 8.0000E+000; 2.2436E+001; 8.0000E+000; 2.0858E+001; 8.0000E+000; 1.6172E+001;
 9.0000E+000; 6.7357E+001; 9.0000E+000; 4.7705E+001; 9.0000E+000; 3.4949E+001; 9.0000E+000; 2.7275E+001; 9.0000E+000; 2.3167E+001; 9.0000E+000; 2.1218E+001; 9.0000E+000; 1.6050E+001;
