Time(min)   ;PG_00mm(MPa);Time(min)   ;PG_10mm(MPa);Time(min)   ;PG_20mm(MPa);Time(min)   ;PG_30mm(MPa);Time(min)   ;PG_40mm(MPa);Time(min)   ;PG_50mm(MPa);Time(min)   ;PG_120mm(MPa;
 0.0000E+000; 1.0132E-001; 0.0000E+000; 9.9966E-002; 0.0000E+000; 9.8871E-002; 0.0000E+000; 9.8029E-002; 0.0000E+000; 9.7433E-002; 0.0000E+000; 9.7079E-002; 0.0000E+000; 1.0132E-001;
 1.0000E+000; 1.0132E-001; 1.0000E+000; 8.8566E-002; 1.0000E+000; 9.8660E-002; 1.0000E+000; 9.8018E-002; 1.0000E+000; 9.7432E-002; 1.0000E+000; 9.7079E-002; 1.0000E+000; 1.0132E-001;
 2.0000E+000; 1.0132E-001; 2.0000E+000; 8.5925E-002; 2.0000E+000; 9.5800E-002; 2.0000E+000; 9.7894E-002; 2.0000E+000; 9.7420E-002; 2.0000E+000; 9.7077E-002; 2.0000E+000; 1.0132E-001;
 3.0000E+000; 1.0132E-001; 3.0000E+000; 1.0301E-001; 3.0000E+000; 8.7324E-002; 3.0000E+000; 9.7169E-002; 3.0000E+000; 9.7346E-002; 3.0000E+000; 9.7066E-002; 3.0000E+000; 1.0132E-001;
 4.0000E+000; 1.0132E-001; 4.0000E+000; 1.2355E-001; 4.0000E+000; 8.0413E-002; 4.0000E+000; 9.4110E-002; 4.0000E+000; 9.7093E-002; 4.0000E+000; 9.7024E-002; 4.0000E+000; 1.0132E-001;
 5.0000E+000; 1.0132E-001; 5.0000E+000; 1.4517E-001; 5.0000E+000; 7.7665E-002; 5.0000E+000; 8.7568E-002; 5.0000E+000; 9.6283E-002; 5.0000E+000; 9.6917E-002; 5.0000E+000; 1.0132E-001;
 6.0000E+000; 1.0132E-001; 6.0000E+000; 1.6818E-001; 6.0000E+000; 7.8300E-002; 6.0000E+000; 7.8690E-002; 6.0000E+000; 9.4142E-002; 6.0000E+000; 9.6661E-002; 6.0000E+000; 1.0132E-001;
 7.0000E+000; 1.0132E-001; 7.0000E+000; 1.9316E-001; 7.0000E+000; 8.1454E-002; 7.0000E+000; 7.0109E-002; 7.0000E+000; 8.9674E-002; 7.0000E+000; 9.6066E-002; 7.0000E+000; 1.0132E-001;
 8.0000E+000; 1.0132E-001; 8.0000E+000; 2.2068E-001; 8.0000E+000; 8.6634E-002; 8.0000E+000; 6.3724E-002; 8.0000E+000; 8.2281E-002; 8.0000E+000; 9.4754E-002; 8.0000E+000; 1.0132E-001;
 9.0000E+000; 1.0132E-001; 9.0000E+000; 2.5166E-001; 9.0000E+000; 9.3671E-002; 9.0000E+000; 5.9964E-002; 9.0000E+000; 7.2728E-002; 9.0000E+000; 9.2094E-002; 9.0000E+000; 1.0132E-001;
 1.0000E+001; 1.0132E-001; 1.0000E+001; 2.8670E-001; 1.0000E+001; 1.0260E-001; 1.0000E+001; 5.8549E-002; 1.0000E+001; 6.3159E-002; 1.0000E+001; 8.7271E-002; 1.0000E+001; 1.0132E-001;
 1.1000E+001; 1.0132E-001; 1.1000E+001; 3.2627E-001; 1.1000E+001; 1.1351E-001; 1.1000E+001; 5.9069E-002; 1.1000E+001; 5.5473E-002; 1.1000E+001; 7.9743E-002; 1.1000E+001; 1.0132E-001;
 1.2000E+001; 1.0132E-001; 1.2000E+001; 3.7110E-001; 1.2000E+001; 1.2657E-001; 1.2000E+001; 6.1206E-002; 1.2000E+001; 5.0260E-002; 1.2000E+001; 7.0110E-002; 1.2000E+001; 1.0132E-001;
 1.3000E+001; 1.0132E-001; 1.3000E+001; 4.2164E-001; 1.3000E+001; 1.4208E-001; 1.3000E+001; 6.4792E-002; 1.3000E+001; 4.7280E-002; 1.3000E+001; 6.0277E-002; 1.3000E+001; 1.0132E-001;
 1.4000E+001; 1.0132E-001; 1.4000E+001; 4.7817E-001; 1.4000E+001; 1.6030E-001; 1.4000E+001; 6.9756E-002; 1.4000E+001; 4.6085E-002; 1.4000E+001; 5.2093E-002; 1.4000E+001; 1.0132E-001;
 1.5000E+001; 1.0132E-001; 1.5000E+001; 5.4094E-001; 1.5000E+001; 1.8154E-001; 1.5000E+001; 7.6097E-002; 1.5000E+001; 4.6297E-002; 1.5000E+001; 4.6221E-002; 1.5000E+001; 1.0132E-001;
 1.6000E+001; 1.0132E-001; 1.6000E+001; 6.0974E-001; 1.6000E+001; 2.0632E-001; 1.6000E+001; 8.3897E-002; 1.6000E+001; 4.7666E-002; 1.6000E+001; 4.2464E-002; 1.6000E+001; 1.0132E-001;
 1.7000E+001; 1.0132E-001; 1.7000E+001; 6.8475E-001; 1.7000E+001; 2.3518E-001; 1.7000E+001; 9.3312E-002; 1.7000E+001; 5.0064E-002; 1.7000E+001; 4.0385E-002; 1.7000E+001; 1.0132E-001;
 1.8000E+001; 1.0132E-001; 1.8000E+001; 7.6586E-001; 1.8000E+001; 2.6867E-001; 1.8000E+001; 1.0453E-001; 1.8000E+001; 5.3436E-002; 1.8000E+001; 3.9599E-002; 1.8000E+001; 1.0132E-001;
 1.9000E+001; 1.0132E-001; 1.9000E+001; 8.5269E-001; 1.9000E+001; 3.0748E-001; 1.9000E+001; 1.1781E-001; 1.9000E+001; 5.7785E-002; 1.9000E+001; 3.9834E-002; 1.9000E+001; 1.0132E-001;
 2.0000E+001; 1.0132E-001; 2.0000E+001; 9.4445E-001; 2.0000E+001; 3.5243E-001; 2.0000E+001; 1.3349E-001; 2.0000E+001; 6.3169E-002; 2.0000E+001; 4.0926E-002; 2.0000E+001; 1.0132E-001;
 2.1000E+001; 1.0132E-001; 2.1000E+001; 1.0400E+000; 2.1000E+001; 4.0405E-001; 2.1000E+001; 1.5201E-001; 2.1000E+001; 6.9699E-002; 2.1000E+001; 4.2787E-002; 2.1000E+001; 1.0132E-001;
 2.2000E+001; 1.0132E-001; 2.2000E+001; 1.1375E+000; 2.2000E+001; 4.6256E-001; 2.2000E+001; 1.7381E-001; 2.2000E+001; 7.7508E-002; 2.2000E+001; 4.5384E-002; 2.2000E+001; 1.0132E-001;
 2.3000E+001; 1.0132E-001; 2.3000E+001; 1.2342E+000; 2.3000E+001; 5.2747E-001; 2.3000E+001; 1.9934E-001; 2.3000E+001; 8.6750E-002; 2.3000E+001; 4.8715E-002; 2.3000E+001; 1.0132E-001;
 2.4000E+001; 1.0132E-001; 2.4000E+001; 1.3269E+000; 2.4000E+001; 5.9710E-001; 2.4000E+001; 2.2901E-001; 2.4000E+001; 9.7595E-002; 2.4000E+001; 5.2798E-002; 2.4000E+001; 1.0132E-001;
 2.5000E+001; 1.0132E-001; 2.5000E+001; 1.4125E+000; 2.5000E+001; 6.6854E-001; 2.5000E+001; 2.6316E-001; 2.5000E+001; 1.1024E-001; 2.5000E+001; 5.7676E-002; 2.5000E+001; 1.0132E-001;
 2.6000E+001; 1.0132E-001; 2.6000E+001; 1.4895E+000; 2.6000E+001; 7.3900E-001; 2.6000E+001; 3.0151E-001; 2.6000E+001; 1.2484E-001; 2.6000E+001; 6.3392E-002; 2.6000E+001; 1.0132E-001;
 2.7000E+001; 1.0132E-001; 2.7000E+001; 1.5581E+000; 2.7000E+001; 8.0611E-001; 2.7000E+001; 3.4337E-001; 2.7000E+001; 1.4146E-001; 2.7000E+001; 6.9979E-002; 2.7000E+001; 1.0132E-001;
 2.8000E+001; 1.0132E-001; 2.8000E+001; 1.6193E+000; 2.8000E+001; 8.6852E-001; 2.8000E+001; 3.8767E-001; 2.8000E+001; 1.6009E-001; 2.8000E+001; 7.7459E-002; 2.8000E+001; 1.0132E-001;
 2.9000E+001; 1.0132E-001; 2.9000E+001; 1.6744E+000; 2.9000E+001; 9.2579E-001; 2.9000E+001; 4.3326E-001; 2.9000E+001; 1.8069E-001; 2.9000E+001; 8.5850E-002; 2.9000E+001; 1.0132E-001;
 3.0000E+001; 1.0132E-001; 3.0000E+001; 1.7245E+000; 3.0000E+001; 9.7801E-001; 3.0000E+001; 4.7891E-001; 3.0000E+001; 2.0318E-001; 3.0000E+001; 9.5178E-002; 3.0000E+001; 1.0132E-001;
 3.1000E+001; 1.0132E-001; 3.1000E+001; 1.7707E+000; 3.1000E+001; 1.0258E+000; 3.1000E+001; 5.2361E-001; 3.1000E+001; 2.2731E-001; 3.1000E+001; 1.0545E-001; 3.1000E+001; 1.0132E-001;
 3.2000E+001; 1.0132E-001; 3.2000E+001; 1.8133E+000; 3.2000E+001; 1.0701E+000; 3.2000E+001; 5.6673E-001; 3.2000E+001; 2.5275E-001; 3.2000E+001; 1.1664E-001; 3.2000E+001; 1.0132E-001;
 3.3000E+001; 1.0132E-001; 3.3000E+001; 1.8526E+000; 3.3000E+001; 1.1114E+000; 3.3000E+001; 6.0797E-001; 3.3000E+001; 2.7913E-001; 3.3000E+001; 1.2872E-001; 3.3000E+001; 1.0132E-001;
 3.4000E+001; 1.0132E-001; 3.4000E+001; 1.8884E+000; 3.4000E+001; 1.1506E+000; 3.4000E+001; 6.4712E-001; 3.4000E+001; 3.0623E-001; 3.4000E+001; 1.4164E-001; 3.4000E+001; 1.0132E-001;
 3.5000E+001; 1.0132E-001; 3.5000E+001; 1.9199E+000; 3.5000E+001; 1.1882E+000; 3.5000E+001; 6.8414E-001; 3.5000E+001; 3.3389E-001; 3.5000E+001; 1.5539E-001; 3.5000E+001; 1.0132E-001;
