Time(min)   ;T_00mm      ;Time(min)   ;T_10mm      ;Time(min)   ;T_20mm      ;Time(min)   ;T_30mm      ;Time(min)   ;T_40mm      ;Time(min)   ;T_50mm      ;Time(min)   ;T_120mm     ;
 0.0000E+000; 2.0014E+001; 0.0000E+000; 2.0014E+001; 0.0000E+000; 2.0015E+001; 0.0000E+000; 2.0015E+001; 0.0000E+000; 2.0015E+001; 0.0000E+000; 2.0015E+001; 0.0000E+000; 2.0014E+001;
 1.0000E+000; 6.2099E+001; 1.0000E+000; 2.7588E+001; 1.0000E+000; 2.0583E+001; 1.0000E+000; 2.0028E+001; 1.0000E+000; 2.0015E+001; 1.0000E+000; 2.0015E+001; 1.0000E+000; 1.9389E+001;
 2.0000E+000; 7.8847E+001; 2.0000E+000; 3.9173E+001; 2.0000E+000; 2.4376E+001; 2.0000E+000; 2.0708E+001; 2.0000E+000; 2.0095E+001; 2.0000E+000; 2.0022E+001; 2.0000E+000; 1.9281E+001;
 3.0000E+000; 9.0857E+001; 3.0000E+000; 4.9383E+001; 3.0000E+000; 2.9598E+001; 3.0000E+000; 2.2464E+001; 3.0000E+000; 2.0508E+001; 3.0000E+000; 2.0095E+001; 3.0000E+000; 1.9254E+001;
 4.0000E+000; 1.0044E+002; 4.0000E+000; 5.8233E+001; 4.0000E+000; 3.5195E+001; 4.0000E+000; 2.5023E+001; 4.0000E+000; 2.1384E+001; 4.0000E+000; 2.0327E+001; 4.0000E+000; 1.9262E+001;
 5.0000E+000; 1.0870E+002; 5.0000E+000; 6.6043E+001; 5.0000E+000; 4.0751E+001; 5.0000E+000; 2.8068E+001; 5.0000E+000; 2.2696E+001; 5.0000E+000; 2.0780E+001; 5.0000E+000; 1.9285E+001;
 6.0000E+000; 1.1619E+002; 6.0000E+000; 7.3106E+001; 6.0000E+000; 4.6130E+001; 6.0000E+000; 3.1379E+001; 6.0000E+000; 2.4360E+001; 6.0000E+000; 2.1471E+001; 6.0000E+000; 1.9314E+001;
 7.0000E+000; 1.2314E+002; 7.0000E+000; 7.9626E+001; 7.0000E+000; 5.1304E+001; 7.0000E+000; 3.4822E+001; 7.0000E+000; 2.6289E+001; 7.0000E+000; 2.2385E+001; 7.0000E+000; 1.9346E+001;
 8.0000E+000; 1.2970E+002; 8.0000E+000; 8.5738E+001; 8.0000E+000; 5.6284E+001; 8.0000E+000; 3.8322E+001; 8.0000E+000; 2.8412E+001; 8.0000E+000; 2.3495E+001; 8.0000E+000; 1.9377E+001;
 9.0000E+000; 1.3594E+002; 9.0000E+000; 9.1527E+001; 9.0000E+000; 6.1090E+001; 9.0000E+000; 4.1838E+001; 9.0000E+000; 3.0674E+001; 9.0000E+000; 2.4773E+001; 9.0000E+000; 1.9408E+001;
 1.0000E+001; 1.4191E+002; 1.0000E+001; 9.7050E+001; 1.0000E+001; 6.5742E+001; 1.0000E+001; 4.5344E+001; 1.0000E+001; 3.3036E+001; 1.0000E+001; 2.6190E+001; 1.0000E+001; 1.9439E+001;
 1.1000E+001; 1.4764E+002; 1.1000E+001; 1.0235E+002; 1.1000E+001; 7.0256E+001; 1.1000E+001; 4.8828E+001; 1.1000E+001; 3.5469E+001; 1.1000E+001; 2.7722E+001; 1.1000E+001; 1.9472E+001;
 1.2000E+001; 1.5315E+002; 1.2000E+001; 1.0745E+002; 1.2000E+001; 7.4645E+001; 1.2000E+001; 5.2283E+001; 1.2000E+001; 3.7952E+001; 1.2000E+001; 2.9350E+001; 1.2000E+001; 1.9507E+001;
