Time(min)   ;PG_00mm(MPa);Time(min)   ;PG_10mm(MPa);Time(min)   ;PG_20mm(MPa);Time(min)   ;PG_30mm(MPa);Time(min)   ;PG_40mm(MPa);Time(min)   ;PG_50mm(MPa);Time(min)   ;PG_120mm(MPa;
 0.0000E+000; 1.0132E-001; 0.0000E+000; 9.9966E-002; 0.0000E+000; 9.8871E-002; 0.0000E+000; 9.8029E-002; 0.0000E+000; 9.7433E-002; 0.0000E+000; 9.7079E-002; 0.0000E+000; 1.0132E-001;
 1.0000E+000; 1.0132E-001; 1.0000E+000; 8.8453E-002; 1.0000E+000; 9.8645E-002; 1.0000E+000; 9.8020E-002; 1.0000E+000; 9.7432E-002; 1.0000E+000; 9.7079E-002; 1.0000E+000; 1.0132E-001;
 2.0000E+000; 1.0132E-001; 2.0000E+000; 8.2735E-002; 2.0000E+000; 9.6262E-002; 2.0000E+000; 9.7900E-002; 2.0000E+000; 9.7424E-002; 2.0000E+000; 9.7078E-002; 2.0000E+000; 1.0132E-001;
 3.0000E+000; 1.0132E-001; 3.0000E+000; 9.7199E-002; 3.0000E+000; 8.8138E-002; 3.0000E+000; 9.7331E-002; 3.0000E+000; 9.7357E-002; 3.0000E+000; 9.7070E-002; 3.0000E+000; 1.0132E-001;
 4.0000E+000; 1.0132E-001; 4.0000E+000; 1.1562E-001; 4.0000E+000; 8.0100E-002; 4.0000E+000; 9.4990E-002; 4.0000E+000; 9.7148E-002; 4.0000E+000; 9.7035E-002; 4.0000E+000; 1.0132E-001;
 5.0000E+000; 1.0132E-001; 5.0000E+000; 1.3518E-001; 5.0000E+000; 7.5474E-002; 5.0000E+000; 8.9610E-002; 5.0000E+000; 9.6557E-002; 5.0000E+000; 9.6944E-002; 5.0000E+000; 1.0132E-001;
 6.0000E+000; 1.0132E-001; 6.0000E+000; 1.5600E-001; 6.0000E+000; 7.4145E-002; 6.0000E+000; 8.1398E-002; 6.0000E+000; 9.5060E-002; 6.0000E+000; 9.6748E-002; 6.0000E+000; 1.0132E-001;
 7.0000E+000; 1.0132E-001; 7.0000E+000; 1.7853E-001; 7.0000E+000; 7.5390E-002; 7.0000E+000; 7.2233E-002; 7.0000E+000; 9.1878E-002; 7.0000E+000; 9.6333E-002; 7.0000E+000; 1.0132E-001;
 8.0000E+000; 1.0132E-001; 8.0000E+000; 2.0322E-001; 8.0000E+000; 7.8671E-002; 8.0000E+000; 6.4323E-002; 8.0000E+000; 8.6227E-002; 8.0000E+000; 9.5473E-002; 8.0000E+000; 1.0132E-001;
 9.0000E+000; 1.0132E-001; 9.0000E+000; 2.3070E-001; 9.0000E+000; 8.3690E-002; 9.0000E+000; 5.8747E-002; 9.0000E+000; 7.7954E-002; 9.0000E+000; 9.3772E-002; 9.0000E+000; 1.0132E-001;
 1.0000E+001; 1.0132E-001; 1.0000E+001; 2.6173E-001; 1.0000E+001; 9.0393E-002; 1.0000E+001; 5.5541E-002; 1.0000E+001; 6.8221E-002; 1.0000E+001; 9.0635E-002; 1.0000E+001; 1.0132E-001;
 1.1000E+001; 1.0132E-001; 1.1000E+001; 2.9675E-001; 1.1000E+001; 9.8817E-002; 1.1000E+001; 5.4363E-002; 1.1000E+001; 5.9057E-002; 1.1000E+001; 8.5376E-002; 1.1000E+001; 1.0132E-001;
 1.2000E+001; 1.0132E-001; 1.2000E+001; 3.3616E-001; 1.2000E+001; 1.0904E-001; 1.2000E+001; 5.4842E-002; 1.2000E+001; 5.1892E-002; 1.2000E+001; 7.7668E-002; 1.2000E+001; 1.0132E-001;
 1.3000E+001; 1.0132E-001; 1.3000E+001; 3.8068E-001; 1.3000E+001; 1.2125E-001; 1.3000E+001; 5.6711E-002; 1.3000E+001; 4.7018E-002; 1.3000E+001; 6.8209E-002; 1.3000E+001; 1.0132E-001;
 1.4000E+001; 1.0132E-001; 1.4000E+001; 4.3069E-001; 1.4000E+001; 1.3571E-001; 1.4000E+001; 5.9839E-002; 1.4000E+001; 4.4139E-002; 1.4000E+001; 5.8716E-002; 1.4000E+001; 1.0132E-001;
 1.5000E+001; 1.0132E-001; 1.5000E+001; 4.8642E-001; 1.5000E+001; 1.5269E-001; 1.5000E+001; 6.4172E-002; 1.5000E+001; 4.2846E-002; 1.5000E+001; 5.0763E-002; 1.5000E+001; 1.0132E-001;
 1.6000E+001; 1.0132E-001; 1.6000E+001; 5.4810E-001; 1.6000E+001; 1.7248E-001; 1.6000E+001; 6.9716E-002; 1.6000E+001; 4.2803E-002; 1.6000E+001; 4.4923E-002; 1.6000E+001; 1.0132E-001;
 1.7000E+001; 1.0132E-001; 1.7000E+001; 6.1568E-001; 1.7000E+001; 1.9553E-001; 1.7000E+001; 7.6536E-002; 1.7000E+001; 4.3786E-002; 1.7000E+001; 4.1033E-002; 1.7000E+001; 1.0132E-001;
