Time(min)   ;T_00mm      ;Time(min)   ;T_10mm      ;Time(min)   ;T_20mm      ;Time(min)   ;T_30mm      ;Time(min)   ;T_40mm      ;Time(min)   ;T_50mm      ;Time(min)   ;T_120mm     ;
 0.0000E+000; 2.0014E+001; 0.0000E+000; 2.0014E+001; 0.0000E+000; 2.0015E+001; 0.0000E+000; 2.0015E+001; 0.0000E+000; 2.0015E+001; 0.0000E+000; 2.0015E+001; 0.0000E+000; 2.0014E+001;
 1.0000E+000; 6.3170E+001; 1.0000E+000; 2.7718E+001; 1.0000E+000; 2.0582E+001; 1.0000E+000; 2.0027E+001; 1.0000E+000; 2.0015E+001; 1.0000E+000; 2.0015E+001; 1.0000E+000; 1.9391E+001;
 2.0000E+000; 8.0296E+001; 2.0000E+000; 3.9559E+001; 2.0000E+000; 2.4430E+001; 2.0000E+000; 2.0709E+001; 2.0000E+000; 2.0094E+001; 2.0000E+000; 2.0022E+001; 2.0000E+000; 1.9284E+001;
 3.0000E+000; 9.2536E+001; 3.0000E+000; 4.9987E+001; 3.0000E+000; 2.9745E+001; 3.0000E+000; 2.2484E+001; 3.0000E+000; 2.0508E+001; 3.0000E+000; 2.0094E+001; 3.0000E+000; 1.9257E+001;
 4.0000E+000; 1.0230E+002; 4.0000E+000; 5.9017E+001; 4.0000E+000; 3.5446E+001; 4.0000E+000; 2.5078E+001; 4.0000E+000; 2.1389E+001; 4.0000E+000; 2.0325E+001; 4.0000E+000; 1.9264E+001;
 5.0000E+000; 1.1075E+002; 5.0000E+000; 6.6987E+001; 5.0000E+000; 4.1106E+001; 5.0000E+000; 2.8169E+001; 5.0000E+000; 2.2714E+001; 5.0000E+000; 2.0780E+001; 5.0000E+000; 1.9287E+001;
 6.0000E+000; 1.1841E+002; 6.0000E+000; 7.4199E+001; 6.0000E+000; 4.6587E+001; 6.0000E+000; 3.1533E+001; 6.0000E+000; 2.4398E+001; 6.0000E+000; 2.1475E+001; 6.0000E+000; 1.9316E+001;
 7.0000E+000; 1.2553E+002; 7.0000E+000; 8.0860E+001; 7.0000E+000; 5.1862E+001; 7.0000E+000; 3.5034E+001; 7.0000E+000; 2.6352E+001; 7.0000E+000; 2.2396E+001; 7.0000E+000; 1.9348E+001;
 8.0000E+000; 1.3225E+002; 8.0000E+000; 8.7108E+001; 8.0000E+000; 5.6941E+001; 8.0000E+000; 3.8595E+001; 8.0000E+000; 2.8505E+001; 8.0000E+000; 2.3518E+001; 8.0000E+000; 1.9379E+001;
 9.0000E+000; 1.3865E+002; 9.0000E+000; 9.3026E+001; 9.0000E+000; 6.1846E+001; 9.0000E+000; 4.2173E+001; 9.0000E+000; 3.0801E+001; 9.0000E+000; 2.4809E+001; 9.0000E+000; 1.9410E+001;
