Time(min)   ;HR_00mm     ;Time(min)   ;HR_10mm     ;Time(min)   ;HR_20mm     ;Time(min)   ;HR_30mm     ;Time(min)   ;HR_40mm     ;Time(min)   ;HR_50mm     ;Time(min)   ;HR_120mm    ;
 0.0000E+000; 4.9895E-001; 0.0000E+000; 4.9489E-001; 0.0000E+000; 4.9184E-001; 0.0000E+000; 4.8962E-001; 0.0000E+000; 4.8811E-001; 0.0000E+000; 4.8724E-001; 0.0000E+000; 4.9895E-001;
 1.0000E+000; 2.2491E-001; 1.0000E+000; 4.7408E-001; 1.0000E+000; 4.9006E-001; 1.0000E+000; 4.8947E-001; 1.0000E+000; 4.8810E-001; 1.0000E+000; 4.8723E-001; 1.0000E+000; 4.4291E-001;
 2.0000E+000; 1.1147E-001; 2.0000E+000; 4.7827E-001; 2.0000E+000; 4.9400E-001; 2.0000E+000; 4.9001E-001; 2.0000E+000; 4.8814E-001; 2.0000E+000; 4.8724E-001; 2.0000E+000; 4.0214E-001;
 3.0000E+000; 7.7311E-002; 3.0000E+000; 5.0415E-001; 3.0000E+000; 5.0239E-001; 3.0000E+000; 4.9206E-001; 3.0000E+000; 4.8849E-001; 3.0000E+000; 4.8728E-001; 3.0000E+000; 3.7105E-001;
 4.0000E+000; 5.6308E-002; 4.0000E+000; 5.3254E-001; 4.0000E+000; 5.1208E-001; 4.0000E+000; 4.9540E-001; 4.0000E+000; 4.8937E-001; 4.0000E+000; 4.8745E-001; 4.0000E+000; 3.4746E-001;
 5.0000E+000; 4.1204E-002; 5.0000E+000; 5.5841E-001; 5.0000E+000; 5.2182E-001; 5.0000E+000; 4.9962E-001; 5.0000E+000; 4.9085E-001; 5.0000E+000; 4.8785E-001; 5.0000E+000; 3.2953E-001;
 6.0000E+000; 3.0316E-002; 6.0000E+000; 5.8130E-001; 6.0000E+000; 5.3122E-001; 6.0000E+000; 5.0443E-001; 6.0000E+000; 4.9288E-001; 6.0000E+000; 4.8854E-001; 6.0000E+000; 3.1582E-001;
 7.0000E+000; 2.2509E-002; 7.0000E+000; 6.0156E-001; 7.0000E+000; 5.4018E-001; 7.0000E+000; 5.0960E-001; 7.0000E+000; 4.9537E-001; 7.0000E+000; 4.8954E-001; 7.0000E+000; 3.0525E-001;
 8.0000E+000; 1.6909E-002; 8.0000E+000; 6.1961E-001; 8.0000E+000; 5.4869E-001; 8.0000E+000; 5.1499E-001; 8.0000E+000; 4.9824E-001; 8.0000E+000; 4.9082E-001; 8.0000E+000; 2.9703E-001;
 9.0000E+000; 1.2975E-002; 9.0000E+000; 6.3680E-001; 9.0000E+000; 5.5685E-001; 9.0000E+000; 5.2050E-001; 9.0000E+000; 5.0141E-001; 9.0000E+000; 4.9237E-001; 9.0000E+000; 2.9057E-001;
 1.0000E+001; 1.0066E-002; 1.0000E+001; 6.5317E-001; 1.0000E+001; 5.6466E-001; 1.0000E+001; 5.2605E-001; 1.0000E+001; 5.0483E-001; 1.0000E+001; 4.9417E-001; 1.0000E+001; 2.8544E-001;
 1.1000E+001; 7.8597E-003; 1.1000E+001; 6.6847E-001; 1.1000E+001; 5.7214E-001; 1.1000E+001; 5.3160E-001; 1.1000E+001; 5.0845E-001; 1.1000E+001; 4.9619E-001; 1.1000E+001; 2.8132E-001;
 1.2000E+001; 6.1915E-003; 1.2000E+001; 6.8288E-001; 1.2000E+001; 5.7931E-001; 1.2000E+001; 5.3711E-001; 1.2000E+001; 5.1221E-001; 1.2000E+001; 4.9839E-001; 1.2000E+001; 2.7797E-001;
 1.3000E+001; 4.9393E-003; 1.3000E+001; 6.9646E-001; 1.3000E+001; 5.8617E-001; 1.3000E+001; 5.4257E-001; 1.3000E+001; 5.1608E-001; 1.3000E+001; 5.0077E-001; 1.3000E+001; 2.7521E-001;
 1.4000E+001; 4.0082E-003; 1.4000E+001; 7.0913E-001; 1.4000E+001; 5.9271E-001; 1.4000E+001; 5.4798E-001; 1.4000E+001; 5.2001E-001; 1.4000E+001; 5.0330E-001; 1.4000E+001; 2.7291E-001;
 1.5000E+001; 3.3275E-003; 1.5000E+001; 7.2069E-001; 1.5000E+001; 5.9896E-001; 1.5000E+001; 5.5333E-001; 1.5000E+001; 5.2398E-001; 1.5000E+001; 5.0594E-001; 1.5000E+001; 2.7095E-001;
 1.6000E+001; 2.8421E-003; 1.6000E+001; 7.3071E-001; 1.6000E+001; 6.0491E-001; 1.6000E+001; 5.5862E-001; 1.6000E+001; 5.2798E-001; 1.6000E+001; 5.0869E-001; 1.6000E+001; 2.6925E-001;
 1.7000E+001; 2.5045E-003; 1.7000E+001; 7.3845E-001; 1.7000E+001; 6.1060E-001; 1.7000E+001; 5.6388E-001; 1.7000E+001; 5.3199E-001; 1.7000E+001; 5.1152E-001; 1.7000E+001; 2.6773E-001;
 1.8000E+001; 2.2704E-003; 1.8000E+001; 7.4310E-001; 1.8000E+001; 6.1611E-001; 1.8000E+001; 5.6909E-001; 1.8000E+001; 5.3601E-001; 1.8000E+001; 5.1442E-001; 1.8000E+001; 2.6635E-001;
 1.9000E+001; 2.1010E-003; 1.9000E+001; 7.4431E-001; 1.9000E+001; 6.2156E-001; 1.9000E+001; 5.7427E-001; 1.9000E+001; 5.4004E-001; 1.9000E+001; 5.1736E-001; 1.9000E+001; 2.6504E-001;
 2.0000E+001; 1.9683E-003; 2.0000E+001; 7.4221E-001; 2.0000E+001; 6.2706E-001; 2.0000E+001; 5.7941E-001; 2.0000E+001; 5.4408E-001; 2.0000E+001; 5.2034E-001; 2.0000E+001; 2.6376E-001;
 2.1000E+001; 1.8542E-003; 2.1000E+001; 7.3716E-001; 2.1000E+001; 6.3274E-001; 2.1000E+001; 5.8449E-001; 2.1000E+001; 5.4811E-001; 2.1000E+001; 5.2336E-001; 2.1000E+001; 2.6249E-001;
 2.2000E+001; 1.7489E-003; 2.2000E+001; 7.2948E-001; 2.2000E+001; 6.3869E-001; 2.2000E+001; 5.8950E-001; 2.2000E+001; 5.5213E-001; 2.2000E+001; 5.2641E-001; 2.2000E+001; 2.6118E-001;
 2.3000E+001; 1.6472E-003; 2.3000E+001; 7.1924E-001; 2.3000E+001; 6.4496E-001; 2.3000E+001; 5.9443E-001; 2.3000E+001; 5.5613E-001; 2.3000E+001; 5.2949E-001; 2.3000E+001; 2.5982E-001;
 2.4000E+001; 1.5473E-003; 2.4000E+001; 7.0628E-001; 2.4000E+001; 6.5156E-001; 2.4000E+001; 5.9925E-001; 2.4000E+001; 5.6010E-001; 2.4000E+001; 5.3258E-001; 2.4000E+001; 2.5837E-001;
 2.5000E+001; 1.4493E-003; 2.5000E+001; 6.9022E-001; 2.5000E+001; 6.5846E-001; 2.5000E+001; 6.0397E-001; 2.5000E+001; 5.6404E-001; 2.5000E+001; 5.3568E-001; 2.5000E+001; 2.5681E-001;
 2.6000E+001; 1.3544E-003; 2.6000E+001; 6.7057E-001; 2.6000E+001; 6.6566E-001; 2.6000E+001; 6.0858E-001; 2.6000E+001; 5.6793E-001; 2.6000E+001; 5.3879E-001; 2.6000E+001; 2.5512E-001;
 2.7000E+001; 1.2645E-003; 2.7000E+001; 6.4681E-001; 2.7000E+001; 6.7310E-001; 2.7000E+001; 6.1309E-001; 2.7000E+001; 5.7178E-001; 2.7000E+001; 5.4190E-001; 2.7000E+001; 2.5329E-001;
 2.8000E+001; 1.1819E-003; 2.8000E+001; 6.1860E-001; 2.8000E+001; 6.8074E-001; 2.8000E+001; 6.1752E-001; 2.8000E+001; 5.7559E-001; 2.8000E+001; 5.4501E-001; 2.8000E+001; 2.5131E-001;
 2.9000E+001; 1.1067E-003; 2.9000E+001; 5.8611E-001; 2.9000E+001; 6.8852E-001; 2.9000E+001; 6.2188E-001; 2.9000E+001; 5.7935E-001; 2.9000E+001; 5.4811E-001; 2.9000E+001; 2.4915E-001;
 3.0000E+001; 1.0389E-003; 3.0000E+001; 5.5014E-001; 3.0000E+001; 6.9639E-001; 3.0000E+001; 6.2617E-001; 3.0000E+001; 5.8307E-001; 3.0000E+001; 5.5121E-001; 3.0000E+001; 2.4683E-001;
 3.1000E+001; 9.8181E-004; 3.1000E+001; 5.1222E-001; 3.1000E+001; 7.0424E-001; 3.1000E+001; 6.3041E-001; 3.1000E+001; 5.8674E-001; 3.1000E+001; 5.5429E-001; 3.1000E+001; 2.4432E-001;
 3.2000E+001; 9.3346E-004; 3.2000E+001; 4.7376E-001; 3.2000E+001; 7.1188E-001; 3.2000E+001; 6.3459E-001; 3.2000E+001; 5.9037E-001; 3.2000E+001; 5.5735E-001; 3.2000E+001; 2.4163E-001;
 3.3000E+001; 8.9142E-004; 3.3000E+001; 4.3577E-001; 3.3000E+001; 7.1916E-001; 3.3000E+001; 6.3872E-001; 3.3000E+001; 5.9394E-001; 3.3000E+001; 5.6039E-001; 3.3000E+001; 2.3876E-001;
 3.4000E+001; 8.5350E-004; 3.4000E+001; 3.9885E-001; 3.4000E+001; 7.2593E-001; 3.4000E+001; 6.4284E-001; 3.4000E+001; 5.9745E-001; 3.4000E+001; 5.6342E-001; 3.4000E+001; 2.3571E-001;
 3.5000E+001; 8.1784E-004; 3.5000E+001; 3.6341E-001; 3.5000E+001; 7.3208E-001; 3.5000E+001; 6.4697E-001; 3.5000E+001; 6.0092E-001; 3.5000E+001; 5.6642E-001; 3.5000E+001; 2.3249E-001;
 3.6000E+001; 7.8342E-004; 3.6000E+001; 3.2978E-001; 3.6000E+001; 7.3753E-001; 3.6000E+001; 6.5113E-001; 3.6000E+001; 6.0433E-001; 3.6000E+001; 5.6940E-001; 3.6000E+001; 2.2909E-001;
 3.7000E+001; 7.4987E-004; 3.7000E+001; 2.9832E-001; 3.7000E+001; 7.4221E-001; 3.7000E+001; 6.5534E-001; 3.7000E+001; 6.0770E-001; 3.7000E+001; 5.7235E-001; 3.7000E+001; 2.2553E-001;
 3.8000E+001; 7.1686E-004; 3.8000E+001; 2.6938E-001; 3.8000E+001; 7.4599E-001; 3.8000E+001; 6.5964E-001; 3.8000E+001; 6.1101E-001; 3.8000E+001; 5.7529E-001; 3.8000E+001; 2.2182E-001;
 3.9000E+001; 6.7981E-004; 3.9000E+001; 2.4370E-001; 3.9000E+001; 7.4871E-001; 3.9000E+001; 6.6404E-001; 3.9000E+001; 6.1429E-001; 3.9000E+001; 5.7820E-001; 3.9000E+001; 2.1797E-001;
 4.0000E+001; 6.4599E-004; 4.0000E+001; 2.2146E-001; 4.0000E+001; 7.5013E-001; 4.0000E+001; 6.6853E-001; 4.0000E+001; 6.1754E-001; 4.0000E+001; 5.8108E-001; 4.0000E+001; 2.1399E-001;
 4.1000E+001; 6.1581E-004; 4.1000E+001; 2.0241E-001; 4.1000E+001; 7.4999E-001; 4.1000E+001; 6.7313E-001; 4.1000E+001; 6.2079E-001; 4.1000E+001; 5.8394E-001; 4.1000E+001; 2.0990E-001;
 4.2000E+001; 5.8902E-004; 4.2000E+001; 1.8614E-001; 4.2000E+001; 7.4811E-001; 4.2000E+001; 6.7784E-001; 4.2000E+001; 6.2403E-001; 4.2000E+001; 5.8677E-001; 4.2000E+001; 2.0570E-001;
 4.3000E+001; 5.6525E-004; 4.3000E+001; 1.7219E-001; 4.3000E+001; 7.4435E-001; 4.3000E+001; 6.8267E-001; 4.3000E+001; 6.2727E-001; 4.3000E+001; 5.8958E-001; 4.3000E+001; 2.0142E-001;
 4.4000E+001; 5.4395E-004; 4.4000E+001; 1.6005E-001; 4.4000E+001; 7.3867E-001; 4.4000E+001; 6.8760E-001; 4.4000E+001; 6.3051E-001; 4.4000E+001; 5.9237E-001; 4.4000E+001; 1.9707E-001;
 4.5000E+001; 5.2453E-004; 4.5000E+001; 1.4925E-001; 4.5000E+001; 7.3105E-001; 4.5000E+001; 6.9261E-001; 4.5000E+001; 6.3375E-001; 4.5000E+001; 5.9513E-001; 4.5000E+001; 1.9265E-001;
 4.6000E+001; 5.0647E-004; 4.6000E+001; 1.3945E-001; 4.6000E+001; 7.2144E-001; 4.6000E+001; 6.9766E-001; 4.6000E+001; 6.3699E-001; 4.6000E+001; 5.9786E-001; 4.6000E+001; 1.8820E-001;
 4.7000E+001; 4.8936E-004; 4.7000E+001; 1.3039E-001; 4.7000E+001; 7.0981E-001; 4.7000E+001; 7.0272E-001; 4.7000E+001; 6.4025E-001; 4.7000E+001; 6.0057E-001; 4.7000E+001; 1.8371E-001;
 4.8000E+001; 4.7296E-004; 4.8000E+001; 1.2194E-001; 4.8000E+001; 6.9608E-001; 4.8000E+001; 7.0774E-001; 4.8000E+001; 6.4351E-001; 4.8000E+001; 6.0324E-001; 4.8000E+001; 1.7920E-001;
 4.9000E+001; 4.5716E-004; 4.9000E+001; 1.1404E-001; 4.9000E+001; 6.8020E-001; 4.9000E+001; 7.1267E-001; 4.9000E+001; 6.4679E-001; 4.9000E+001; 6.0589E-001; 4.9000E+001; 1.7469E-001;
