Time(min)   ;HYD_00mm    ;Time(min)   ;HYD_10mm    ;Time(min)   ;HYD_20mm    ;Time(min)   ;HYD_30mm    ;Time(min)   ;HYD_40mm    ;Time(min)   ;HYD_50mm    ;Time(min)   ;HYD_120mm   ;
 0.0000E+000; 8.9341E-001; 0.0000E+000; 8.6530E-001; 0.0000E+000; 8.4621E-001; 0.0000E+000; 8.3174E-001; 0.0000E+000; 8.2160E-001; 0.0000E+000; 8.1559E-001; 0.0000E+000; 8.9341E-001;
 1.0000E+000; 8.9341E-001; 1.0000E+000; 8.6530E-001; 1.0000E+000; 8.4621E-001; 1.0000E+000; 8.3174E-001; 1.0000E+000; 8.2160E-001; 1.0000E+000; 8.1559E-001; 1.0000E+000; 8.9341E-001;
 2.0000E+000; 8.9341E-001; 2.0000E+000; 8.6530E-001; 2.0000E+000; 8.4621E-001; 2.0000E+000; 8.3174E-001; 2.0000E+000; 8.2161E-001; 2.0000E+000; 8.1559E-001; 2.0000E+000; 8.9341E-001;
 3.0000E+000; 8.9341E-001; 3.0000E+000; 8.6530E-001; 3.0000E+000; 8.4621E-001; 3.0000E+000; 8.3174E-001; 3.0000E+000; 8.2161E-001; 3.0000E+000; 8.1559E-001; 3.0000E+000; 8.9341E-001;
 4.0000E+000; 8.9341E-001; 4.0000E+000; 8.6530E-001; 4.0000E+000; 8.4621E-001; 4.0000E+000; 8.3174E-001; 4.0000E+000; 8.2161E-001; 4.0000E+000; 8.1559E-001; 4.0000E+000; 8.9341E-001;
 5.0000E+000; 8.9341E-001; 5.0000E+000; 8.6531E-001; 5.0000E+000; 8.4621E-001; 5.0000E+000; 8.3174E-001; 5.0000E+000; 8.2161E-001; 5.0000E+000; 8.1559E-001; 5.0000E+000; 8.9341E-001;
 6.0000E+000; 8.9341E-001; 6.0000E+000; 8.6531E-001; 6.0000E+000; 8.4622E-001; 6.0000E+000; 8.3174E-001; 6.0000E+000; 8.2161E-001; 6.0000E+000; 8.1559E-001; 6.0000E+000; 8.9341E-001;
 7.0000E+000; 8.9341E-001; 7.0000E+000; 8.6532E-001; 7.0000E+000; 8.4622E-001; 7.0000E+000; 8.3174E-001; 7.0000E+000; 8.2161E-001; 7.0000E+000; 8.1559E-001; 7.0000E+000; 8.9341E-001;
 8.0000E+000; 8.9342E-001; 8.0000E+000; 8.6534E-001; 8.0000E+000; 8.4622E-001; 8.0000E+000; 8.3174E-001; 8.0000E+000; 8.2161E-001; 8.0000E+000; 8.1559E-001; 8.0000E+000; 8.9341E-001;
 9.0000E+000; 8.9342E-001; 9.0000E+000; 8.6537E-001; 9.0000E+000; 8.4622E-001; 9.0000E+000; 8.3174E-001; 9.0000E+000; 8.2161E-001; 9.0000E+000; 8.1560E-001; 9.0000E+000; 8.9341E-001;
 1.0000E+001; 8.9342E-001; 1.0000E+001; 8.6541E-001; 1.0000E+001; 8.4623E-001; 1.0000E+001; 8.3174E-001; 1.0000E+001; 8.2161E-001; 1.0000E+001; 8.1560E-001; 1.0000E+001; 8.9341E-001;
 1.1000E+001; 8.9343E-001; 1.1000E+001; 8.6548E-001; 1.1000E+001; 8.4624E-001; 1.1000E+001; 8.3175E-001; 1.1000E+001; 8.2161E-001; 1.1000E+001; 8.1560E-001; 1.1000E+001; 8.9341E-001;
 1.2000E+001; 8.9343E-001; 1.2000E+001; 8.6557E-001; 1.2000E+001; 8.4625E-001; 1.2000E+001; 8.3175E-001; 1.2000E+001; 8.2161E-001; 1.2000E+001; 8.1560E-001; 1.2000E+001; 8.9341E-001;
 1.3000E+001; 8.9344E-001; 1.3000E+001; 8.6569E-001; 1.3000E+001; 8.4626E-001; 1.3000E+001; 8.3175E-001; 1.3000E+001; 8.2161E-001; 1.3000E+001; 8.1560E-001; 1.3000E+001; 8.9341E-001;
 1.4000E+001; 8.9345E-001; 1.4000E+001; 8.6587E-001; 1.4000E+001; 8.4628E-001; 1.4000E+001; 8.3176E-001; 1.4000E+001; 8.2161E-001; 1.4000E+001; 8.1560E-001; 1.4000E+001; 8.9341E-001;
 1.5000E+001; 8.9345E-001; 1.5000E+001; 8.6611E-001; 1.5000E+001; 8.4630E-001; 1.5000E+001; 8.3176E-001; 1.5000E+001; 8.2162E-001; 1.5000E+001; 8.1560E-001; 1.5000E+001; 8.9341E-001;
 1.6000E+001; 8.9346E-001; 1.6000E+001; 8.6644E-001; 1.6000E+001; 8.4633E-001; 1.6000E+001; 8.3177E-001; 1.6000E+001; 8.2162E-001; 1.6000E+001; 8.1560E-001; 1.6000E+001; 8.9341E-001;
 1.7000E+001; 8.9347E-001; 1.7000E+001; 8.6687E-001; 1.7000E+001; 8.4636E-001; 1.7000E+001; 8.3177E-001; 1.7000E+001; 8.2162E-001; 1.7000E+001; 8.1560E-001; 1.7000E+001; 8.9341E-001;
 1.8000E+001; 8.9348E-001; 1.8000E+001; 8.6743E-001; 1.8000E+001; 8.4640E-001; 1.8000E+001; 8.3178E-001; 1.8000E+001; 8.2162E-001; 1.8000E+001; 8.1560E-001; 1.8000E+001; 8.9341E-001;
 1.9000E+001; 8.9349E-001; 1.9000E+001; 8.6816E-001; 1.9000E+001; 8.4645E-001; 1.9000E+001; 8.3179E-001; 1.9000E+001; 8.2163E-001; 1.9000E+001; 8.1560E-001; 1.9000E+001; 8.9341E-001;
 2.0000E+001; 8.9351E-001; 2.0000E+001; 8.6906E-001; 2.0000E+001; 8.4651E-001; 2.0000E+001; 8.3181E-001; 2.0000E+001; 8.2163E-001; 2.0000E+001; 8.1561E-001; 2.0000E+001; 8.9341E-001;
 2.1000E+001; 8.9352E-001; 2.1000E+001; 8.7014E-001; 2.1000E+001; 8.4659E-001; 2.1000E+001; 8.3182E-001; 2.1000E+001; 8.2163E-001; 2.1000E+001; 8.1561E-001; 2.1000E+001; 8.9341E-001;
 2.2000E+001; 8.9354E-001; 2.2000E+001; 8.7139E-001; 2.2000E+001; 8.4668E-001; 2.2000E+001; 8.3184E-001; 2.2000E+001; 8.2164E-001; 2.2000E+001; 8.1561E-001; 2.2000E+001; 8.9341E-001;
 2.3000E+001; 8.9355E-001; 2.3000E+001; 8.7276E-001; 2.3000E+001; 8.4679E-001; 2.3000E+001; 8.3186E-001; 2.3000E+001; 8.2165E-001; 2.3000E+001; 8.1561E-001; 2.3000E+001; 8.9341E-001;
 2.4000E+001; 8.9357E-001; 2.4000E+001; 8.7423E-001; 2.4000E+001; 8.4692E-001; 2.4000E+001; 8.3189E-001; 2.4000E+001; 8.2165E-001; 2.4000E+001; 8.1561E-001; 2.4000E+001; 8.9341E-001;
 2.5000E+001; 8.9359E-001; 2.5000E+001; 8.7574E-001; 2.5000E+001; 8.4707E-001; 2.5000E+001; 8.3192E-001; 2.5000E+001; 8.2166E-001; 2.5000E+001; 8.1562E-001; 2.5000E+001; 8.9341E-001;
 2.6000E+001; 8.9361E-001; 2.6000E+001; 8.7725E-001; 2.6000E+001; 8.4725E-001; 2.6000E+001; 8.3195E-001; 2.6000E+001; 8.2167E-001; 2.6000E+001; 8.1562E-001; 2.6000E+001; 8.9341E-001;
 2.7000E+001; 8.9363E-001; 2.7000E+001; 8.7871E-001; 2.7000E+001; 8.4745E-001; 2.7000E+001; 8.3199E-001; 2.7000E+001; 8.2168E-001; 2.7000E+001; 8.1562E-001; 2.7000E+001; 8.9341E-001;
 2.8000E+001; 8.9366E-001; 2.8000E+001; 8.8009E-001; 2.8000E+001; 8.4770E-001; 2.8000E+001; 8.3204E-001; 2.8000E+001; 8.2169E-001; 2.8000E+001; 8.1563E-001; 2.8000E+001; 8.9341E-001;
 2.9000E+001; 8.9368E-001; 2.9000E+001; 8.8133E-001; 2.9000E+001; 8.4799E-001; 2.9000E+001; 8.3210E-001; 2.9000E+001; 8.2171E-001; 2.9000E+001; 8.1563E-001; 2.9000E+001; 8.9341E-001;
