Time(min)   ;PG_00mm(MPa);Time(min)   ;PG_10mm(MPa);Time(min)   ;PG_20mm(MPa);Time(min)   ;PG_30mm(MPa);Time(min)   ;PG_40mm(MPa);Time(min)   ;PG_50mm(MPa);Time(min)   ;PG_120mm(MPa;
 0.0000E+000; 1.0132E-001; 0.0000E+000; 9.1541E-002; 0.0000E+000; 8.7688E-002; 0.0000E+000; 8.5965E-002; 0.0000E+000; 8.4975E-002; 0.0000E+000; 8.4330E-002; 0.0000E+000; 1.0132E-001;
 1.0000E+000; 1.0132E-001; 1.0000E+000; 7.7600E-002; 1.0000E+000; 8.7252E-002; 1.0000E+000; 8.5954E-002; 1.0000E+000; 8.4974E-002; 1.0000E+000; 8.4330E-002; 1.0000E+000; 1.0132E-001;
 2.0000E+000; 1.0132E-001; 2.0000E+000; 7.0236E-002; 2.0000E+000; 8.4378E-002; 2.0000E+000; 8.5767E-002; 2.0000E+000; 8.4960E-002; 2.0000E+000; 8.4329E-002; 2.0000E+000; 1.0132E-001;
 3.0000E+000; 1.0132E-001; 3.0000E+000; 8.6395E-002; 3.0000E+000; 7.4562E-002; 3.0000E+000; 8.4977E-002; 3.0000E+000; 8.4857E-002; 3.0000E+000; 8.4317E-002; 3.0000E+000; 1.0132E-001;
 4.0000E+000; 1.0132E-001; 4.0000E+000; 1.0559E-001; 4.0000E+000; 6.7070E-002; 4.0000E+000; 8.1822E-002; 4.0000E+000; 8.4542E-002; 4.0000E+000; 8.4264E-002; 4.0000E+000; 1.0132E-001;
 5.0000E+000; 1.0132E-001; 5.0000E+000; 1.2334E-001; 5.0000E+000; 6.4100E-002; 5.0000E+000; 7.5068E-002; 5.0000E+000; 8.3668E-002; 5.0000E+000; 8.4128E-002; 5.0000E+000; 1.0132E-001;
 6.0000E+000; 1.0132E-001; 6.0000E+000; 1.3982E-001; 6.0000E+000; 6.3633E-002; 6.0000E+000; 6.6020E-002; 6.0000E+000; 8.1467E-002; 6.0000E+000; 8.3841E-002; 6.0000E+000; 1.0132E-001;
 7.0000E+000; 1.0132E-001; 7.0000E+000; 1.5579E-001; 7.0000E+000; 6.4515E-002; 7.0000E+000; 5.7105E-002; 7.0000E+000; 7.6893E-002; 7.0000E+000; 8.3232E-002; 7.0000E+000; 1.0132E-001;
 8.0000E+000; 1.0132E-001; 8.0000E+000; 1.7179E-001; 8.0000E+000; 6.6289E-002; 8.0000E+000; 4.9908E-002; 8.0000E+000; 6.9162E-002; 8.0000E+000; 8.1938E-002; 8.0000E+000; 1.0132E-001;
 9.0000E+000; 1.0132E-001; 9.0000E+000; 1.8827E-001; 9.0000E+000; 6.8767E-002; 9.0000E+000; 4.4770E-002; 9.0000E+000; 5.8843E-002; 9.0000E+000; 7.9252E-002; 9.0000E+000; 1.0132E-001;
 1.0000E+001; 1.0132E-001; 1.0000E+001; 2.0597E-001; 1.0000E+001; 7.1903E-002; 1.0000E+001; 4.1418E-002; 1.0000E+001; 4.8236E-002; 1.0000E+001; 7.4009E-002; 1.0000E+001; 1.0132E-001;
 1.1000E+001; 1.0132E-001; 1.1000E+001; 2.2535E-001; 1.1000E+001; 7.5801E-002; 1.1000E+001; 3.9490E-002; 1.1000E+001; 3.9511E-002; 1.1000E+001; 6.5057E-002; 1.1000E+001; 1.0132E-001;
 1.2000E+001; 1.0132E-001; 1.2000E+001; 2.4676E-001; 1.2000E+001; 8.0545E-002; 1.2000E+001; 3.8686E-002; 1.2000E+001; 3.3304E-002; 1.2000E+001; 5.3074E-002; 1.2000E+001; 1.0132E-001;
 1.3000E+001; 1.0132E-001; 1.3000E+001; 2.7056E-001; 1.3000E+001; 8.6200E-002; 1.3000E+001; 3.8782E-002; 1.3000E+001; 2.9250E-002; 1.3000E+001; 4.1334E-002; 1.3000E+001; 1.0132E-001;
 1.4000E+001; 1.0132E-001; 1.4000E+001; 2.9715E-001; 1.4000E+001; 9.2856E-002; 1.4000E+001; 3.9629E-002; 1.4000E+001; 2.6764E-002; 1.4000E+001; 3.2388E-002; 1.4000E+001; 1.0132E-001;
 1.5000E+001; 1.0132E-001; 1.5000E+001; 3.2666E-001; 1.5000E+001; 1.0058E-001; 1.5000E+001; 4.1135E-002; 1.5000E+001; 2.5375E-002; 1.5000E+001; 2.6416E-002; 1.5000E+001; 1.0132E-001;
