Time(min)   ;SW_00mm     ;Time(min)   ;SW_10mm     ;Time(min)   ;SW_20mm     ;Time(min)   ;SW_30mm     ;Time(min)   ;SW_40mm     ;Time(min)   ;SW_50mm     ;Time(min)   ;SW_120mm    ;
 0.0000E+000; 2.4209E-001; 0.0000E+000; 1.9394E-001; 0.0000E+000; 1.6541E-001; 0.0000E+000; 1.4810E-001; 0.0000E+000; 1.3777E-001; 0.0000E+000; 1.3224E-001; 0.0000E+000; 2.4209E-001;
 1.0000E+000; 1.1019E-001; 1.0000E+000; 1.7993E-001; 1.0000E+000; 1.6450E-001; 1.0000E+000; 1.4804E-001; 1.0000E+000; 1.3777E-001; 1.0000E+000; 1.3224E-001; 1.0000E+000; 2.1412E-001;
 2.0000E+000; 7.4276E-002; 2.0000E+000; 1.6722E-001; 2.0000E+000; 1.6364E-001; 2.0000E+000; 1.4799E-001; 2.0000E+000; 1.3776E-001; 2.0000E+000; 1.3224E-001; 2.0000E+000; 1.9576E-001;
 3.0000E+000; 6.3244E-002; 3.0000E+000; 1.6162E-001; 3.0000E+000; 1.6336E-001; 3.0000E+000; 1.4797E-001; 3.0000E+000; 1.3776E-001; 3.0000E+000; 1.3224E-001; 3.0000E+000; 1.8276E-001;
 4.0000E+000; 5.7479E-002; 4.0000E+000; 1.6129E-001; 4.0000E+000; 1.6347E-001; 4.0000E+000; 1.4801E-001; 4.0000E+000; 1.3777E-001; 4.0000E+000; 1.3224E-001; 4.0000E+000; 1.7339E-001;
 5.0000E+000; 5.3244E-002; 5.0000E+000; 1.6330E-001; 5.0000E+000; 1.6372E-001; 5.0000E+000; 1.4809E-001; 5.0000E+000; 1.3778E-001; 5.0000E+000; 1.3224E-001; 5.0000E+000; 1.6650E-001;
 6.0000E+000; 4.9638E-002; 6.0000E+000; 1.6612E-001; 6.0000E+000; 1.6399E-001; 6.0000E+000; 1.4822E-001; 6.0000E+000; 1.3780E-001; 6.0000E+000; 1.3224E-001; 6.0000E+000; 1.6135E-001;
 7.0000E+000; 4.6452E-002; 7.0000E+000; 1.6920E-001; 7.0000E+000; 1.6425E-001; 7.0000E+000; 1.4834E-001; 7.0000E+000; 1.3784E-001; 7.0000E+000; 1.3225E-001; 7.0000E+000; 1.5743E-001;
 8.0000E+000; 4.3609E-002; 8.0000E+000; 1.7232E-001; 8.0000E+000; 1.6450E-001; 8.0000E+000; 1.4844E-001; 8.0000E+000; 1.3793E-001; 8.0000E+000; 1.3226E-001; 8.0000E+000; 1.5440E-001;
 9.0000E+000; 4.1067E-002; 9.0000E+000; 1.7542E-001; 9.0000E+000; 1.6474E-001; 9.0000E+000; 1.4851E-001; 9.0000E+000; 1.3805E-001; 9.0000E+000; 1.3228E-001; 9.0000E+000; 1.5203E-001;
 1.0000E+001; 3.8782E-002; 1.0000E+001; 1.7845E-001; 1.0000E+001; 1.6495E-001; 1.0000E+001; 1.4857E-001; 1.0000E+001; 1.3817E-001; 1.0000E+001; 1.3233E-001; 1.0000E+001; 1.5016E-001;
 1.1000E+001; 3.6712E-002; 1.1000E+001; 1.8134E-001; 1.1000E+001; 1.6514E-001; 1.1000E+001; 1.4860E-001; 1.1000E+001; 1.3826E-001; 1.1000E+001; 1.3244E-001; 1.1000E+001; 1.4866E-001;
 1.2000E+001; 3.4831E-002; 1.2000E+001; 1.8406E-001; 1.2000E+001; 1.6531E-001; 1.2000E+001; 1.4863E-001; 1.2000E+001; 1.3832E-001; 1.2000E+001; 1.3258E-001; 1.2000E+001; 1.4745E-001;
 1.3000E+001; 3.3116E-002; 1.3000E+001; 1.8660E-001; 1.3000E+001; 1.6546E-001; 1.3000E+001; 1.4864E-001; 1.3000E+001; 1.3836E-001; 1.3000E+001; 1.3270E-001; 1.3000E+001; 1.4645E-001;
