Time(min)   ;T_00mm      ;Time(min)   ;T_10mm      ;Time(min)   ;T_20mm      ;Time(min)   ;T_30mm      ;Time(min)   ;T_40mm      ;Time(min)   ;T_50mm      ;Time(min)   ;T_120mm     ;
 0.0000E+000; 2.0012E+001; 0.0000E+000; 2.0012E+001; 0.0000E+000; 2.0013E+001; 0.0000E+000; 2.0013E+001; 0.0000E+000; 2.0014E+001; 0.0000E+000; 2.0014E+001; 0.0000E+000; 2.0012E+001;
 1.0000E+000; 6.4011E+001; 1.0000E+000; 2.6188E+001; 1.0000E+000; 2.0270E+001; 1.0000E+000; 2.0013E+001; 1.0000E+000; 2.0014E+001; 1.0000E+000; 2.0014E+001; 1.0000E+000; 1.9346E+001;
 2.0000E+000; 8.2301E+001; 2.0000E+000; 3.7497E+001; 2.0000E+000; 2.3165E+001; 2.0000E+000; 2.0374E+001; 2.0000E+000; 2.0041E+001; 2.0000E+000; 2.0015E+001; 2.0000E+000; 1.9249E+001;
 3.0000E+000; 9.5370E+001; 3.0000E+000; 4.7972E+001; 3.0000E+000; 2.7726E+001; 3.0000E+000; 2.1589E+001; 3.0000E+000; 2.0253E+001; 3.0000E+000; 2.0041E+001; 3.0000E+000; 1.9240E+001;
 4.0000E+000; 1.0549E+002; 4.0000E+000; 5.7268E+001; 4.0000E+000; 3.2943E+001; 4.0000E+000; 2.3591E+001; 4.0000E+000; 2.0799E+001; 4.0000E+000; 2.0151E+001; 4.0000E+000; 1.9265E+001;
 5.0000E+000; 1.1379E+002; 5.0000E+000; 6.5471E+001; 5.0000E+000; 3.8312E+001; 5.0000E+000; 2.6151E+001; 5.0000E+000; 2.1719E+001; 5.0000E+000; 2.0406E+001; 5.0000E+000; 1.9305E+001;
 6.0000E+000; 1.2088E+002; 6.0000E+000; 7.2753E+001; 6.0000E+000; 4.3593E+001; 6.0000E+000; 2.9065E+001; 6.0000E+000; 2.2980E+001; 6.0000E+000; 2.0840E+001; 6.0000E+000; 1.9348E+001;
 7.0000E+000; 1.2719E+002; 7.0000E+000; 7.9300E+001; 7.0000E+000; 4.8682E+001; 7.0000E+000; 3.2181E+001; 7.0000E+000; 2.4520E+001; 7.0000E+000; 2.1465E+001; 7.0000E+000; 1.9391E+001;
 8.0000E+000; 1.3294E+002; 8.0000E+000; 8.5269E+001; 8.0000E+000; 5.3547E+001; 8.0000E+000; 3.5396E+001; 8.0000E+000; 2.6277E+001; 8.0000E+000; 2.2269E+001; 8.0000E+000; 1.9431E+001;
 9.0000E+000; 1.3830E+002; 9.0000E+000; 9.0784E+001; 9.0000E+000; 5.8188E+001; 9.0000E+000; 3.8645E+001; 9.0000E+000; 2.8195E+001; 9.0000E+000; 2.3233E+001; 9.0000E+000; 1.9468E+001;
 1.0000E+001; 1.4337E+002; 1.0000E+001; 9.5940E+001; 1.0000E+001; 6.2621E+001; 1.0000E+001; 4.1888E+001; 1.0000E+001; 3.0229E+001; 1.0000E+001; 2.4335E+001; 1.0000E+001; 1.9502E+001;
