Time(min)   ;PG_00mm(MPa);Time(min)   ;PG_10mm(MPa);Time(min)   ;PG_20mm(MPa);Time(min)   ;PG_30mm(MPa);Time(min)   ;PG_40mm(MPa);Time(min)   ;PG_50mm(MPa);Time(min)   ;PG_120mm(MPa;
 0.0000E+000; 1.0132E-001; 0.0000E+000; 1.0019E-001; 0.0000E+000; 9.9363E-002; 0.0000E+000; 9.8774E-002; 0.0000E+000; 9.8380E-002; 0.0000E+000; 9.8153E-002; 0.0000E+000; 1.0132E-001;
 1.0000E+000; 1.0132E-001; 1.0000E+000; 8.8885E-002; 1.0000E+000; 9.9161E-002; 1.0000E+000; 9.8766E-002; 1.0000E+000; 9.8379E-002; 1.0000E+000; 9.8153E-002; 1.0000E+000; 1.0132E-001;
 2.0000E+000; 1.0132E-001; 2.0000E+000; 8.2991E-002; 2.0000E+000; 9.6849E-002; 2.0000E+000; 9.8656E-002; 2.0000E+000; 9.8371E-002; 2.0000E+000; 9.8153E-002; 2.0000E+000; 1.0132E-001;
 3.0000E+000; 1.0132E-001; 3.0000E+000; 9.7049E-002; 3.0000E+000; 8.8980E-002; 3.0000E+000; 9.8099E-002; 3.0000E+000; 9.8309E-002; 3.0000E+000; 9.8145E-002; 3.0000E+000; 1.0132E-001;
 4.0000E+000; 1.0132E-001; 4.0000E+000; 1.1516E-001; 4.0000E+000; 8.1017E-002; 4.0000E+000; 9.5845E-002; 4.0000E+000; 9.8108E-002; 4.0000E+000; 9.8112E-002; 4.0000E+000; 1.0132E-001;
 5.0000E+000; 1.0132E-001; 5.0000E+000; 1.3451E-001; 5.0000E+000; 7.6240E-002; 5.0000E+000; 9.0751E-002; 5.0000E+000; 9.7527E-002; 5.0000E+000; 9.8027E-002; 5.0000E+000; 1.0132E-001;
 6.0000E+000; 1.0132E-001; 6.0000E+000; 1.5515E-001; 6.0000E+000; 7.4702E-002; 6.0000E+000; 8.2943E-002; 6.0000E+000; 9.6081E-002; 6.0000E+000; 9.7835E-002; 6.0000E+000; 1.0132E-001;
 7.0000E+000; 1.0132E-001; 7.0000E+000; 1.7751E-001; 7.0000E+000; 7.5752E-002; 7.0000E+000; 7.4024E-002; 7.0000E+000; 9.3087E-002; 7.0000E+000; 9.7424E-002; 7.0000E+000; 1.0132E-001;
 8.0000E+000; 1.0132E-001; 8.0000E+000; 2.0203E-001; 8.0000E+000; 7.8868E-002; 8.0000E+000; 6.6077E-002; 8.0000E+000; 8.7859E-002; 8.0000E+000; 9.6581E-002; 8.0000E+000; 1.0132E-001;
 9.0000E+000; 1.0132E-001; 9.0000E+000; 2.2940E-001; 9.0000E+000; 8.3755E-002; 9.0000E+000; 6.0293E-002; 9.0000E+000; 8.0190E-002; 9.0000E+000; 9.4958E-002; 9.0000E+000; 1.0132E-001;
