Time(min)   ;T_00mm      ;Time(min)   ;T_10mm      ;Time(min)   ;T_20mm      ;Time(min)   ;T_30mm      ;Time(min)   ;T_40mm      ;Time(min)   ;T_50mm      ;Time(min)   ;T_120mm     ;
 0.0000E+000; 2.0013E+001; 0.0000E+000; 2.0013E+001; 0.0000E+000; 2.0014E+001; 0.0000E+000; 2.0014E+001; 0.0000E+000; 2.0014E+001; 0.0000E+000; 2.0015E+001; 0.0000E+000; 2.0013E+001;
 1.0000E+000; 6.3202E+001; 1.0000E+000; 2.6069E+001; 1.0000E+000; 2.0259E+001; 1.0000E+000; 2.0014E+001; 1.0000E+000; 2.0014E+001; 1.0000E+000; 2.0015E+001; 1.0000E+000; 1.9336E+001;
 2.0000E+000; 8.0438E+001; 2.0000E+000; 3.6998E+001; 2.0000E+000; 2.3054E+001; 2.0000E+000; 2.0357E+001; 2.0000E+000; 2.0040E+001; 2.0000E+000; 2.0016E+001; 2.0000E+000; 1.9221E+001;
 3.0000E+000; 9.2673E+001; 3.0000E+000; 4.6956E+001; 3.0000E+000; 2.7432E+001; 3.0000E+000; 2.1515E+001; 3.0000E+000; 2.0239E+001; 3.0000E+000; 2.0040E+001; 3.0000E+000; 1.9193E+001;
 4.0000E+000; 1.0234E+002; 4.0000E+000; 5.5697E+001; 4.0000E+000; 3.2399E+001; 4.0000E+000; 2.3421E+001; 4.0000E+000; 2.0754E+001; 4.0000E+000; 2.0142E+001; 4.0000E+000; 1.9202E+001;
 5.0000E+000; 1.1064E+002; 5.0000E+000; 6.3441E+001; 5.0000E+000; 3.7483E+001; 5.0000E+000; 2.5852E+001; 5.0000E+000; 2.1622E+001; 5.0000E+000; 2.0380E+001; 5.0000E+000; 1.9228E+001;
 6.0000E+000; 1.1814E+002; 6.0000E+000; 7.0447E+001; 6.0000E+000; 4.2493E+001; 6.0000E+000; 2.8614E+001; 6.0000E+000; 2.2812E+001; 6.0000E+000; 2.0786E+001; 6.0000E+000; 1.9261E+001;
 7.0000E+000; 1.2512E+002; 7.0000E+000; 7.6914E+001; 7.0000E+000; 4.7364E+001; 7.0000E+000; 3.1572E+001; 7.0000E+000; 2.4267E+001; 7.0000E+000; 2.1369E+001; 7.0000E+000; 1.9295E+001;
 8.0000E+000; 1.3171E+002; 8.0000E+000; 8.2974E+001; 8.0000E+000; 5.2086E+001; 8.0000E+000; 3.4641E+001; 8.0000E+000; 2.5931E+001; 8.0000E+000; 2.2123E+001; 8.0000E+000; 1.9330E+001;
 9.0000E+000; 1.3800E+002; 9.0000E+000; 8.8716E+001; 9.0000E+000; 5.6666E+001; 9.0000E+000; 3.7769E+001; 9.0000E+000; 2.7757E+001; 9.0000E+000; 2.3031E+001; 9.0000E+000; 1.9363E+001;
