"T_00_Max";"T_10_Max";"T_20_Max";"T_30_Max";"T_40_Max";"T_50_Max";"T_120_Max";"Pg_10_Max";"Pg_20_Max";"Pg_30_Max";"Pg_40_Max";"Pg_50_Max"
4.1161000000000001e+02;3.7941000000000003e+02;3.4925999999999999e+02;3.2124000000000001e+02;2.9544000000000000e+02;2.7195999999999998e+02;1.6281000000000000e+02;1.9614000000000000e+00;1.8700000000000001e+00;1.6066000000000000e+00;1.4673000000000000e+00;1.5089999999999999e+00
4.1166000000000003e+02;3.7949000000000001e+02;3.4936000000000001e+02;3.2137000000000000e+02;2.9558999999999997e+02;2.7212000000000000e+02;1.6287000000000000e+02;2.0733999999999999e+00;1.9352000000000000e+00;1.6284000000000001e+00;1.4575000000000000e+00;1.4715000000000000e+00
4.1174000000000001e+02;3.7960000000000002e+02;3.4950999999999999e+02;3.2156000000000000e+02;2.9581000000000000e+02;2.7233999999999997e+02;1.6294000000000000e+02;2.2728999999999999e+00;2.0384000000000002e+00;1.6513000000000000e+00;1.4263999999999999e+00;1.3925000000000001e+00
4.1174000000000001e+02;3.7961000000000001e+02;3.4952999999999997e+02;3.2156999999999999e+02;2.9582999999999998e+02;2.7236000000000001e+02;1.6294000000000000e+02;2.2938000000000001e+00;2.0482999999999998e+00;1.6524000000000001e+00;1.4220999999999999e+00;1.3834000000000000e+00
4.1152999999999997e+02;3.7929000000000002e+02;3.4908999999999997e+02;3.2104000000000002e+02;2.9519999999999999e+02;2.7169999999999999e+02;1.6271000000000001e+02;1.8161000000000000e+00;1.7769999999999999e+00;1.5686000000000000e+00;1.4715000000000000e+00;1.5488000000000000e+00
4.1176999999999998e+02;3.7966000000000003e+02;3.4958999999999997e+02;3.2164999999999998e+02;2.9591000000000003e+02;2.7244000000000000e+02;1.6296000000000001e+02;2.3955000000000002e+00;2.0935000000000001e+00;1.6543000000000001e+00;1.3975000000000000e+00;1.3363000000000000e+00
4.1177999999999997e+02;3.7967000000000002e+02;3.4960000000000002e+02;3.2166000000000003e+02;2.9593000000000001e+02;2.7245999999999998e+02;1.6296000000000001e+02;2.4177000000000000e+00;2.1032000000000002e+00;1.6537999999999999e+00;1.3910000000000000e+00;1.3250000000000000e+00
4.1169999999999999e+02;3.7955000000000001e+02;3.4944000000000000e+02;3.2147000000000003e+02;2.9570999999999998e+02;2.7224000000000001e+02;1.6291000000000000e+02;2.1688000000000001e+00;1.9867999999999999e+00;1.6419999999999999e+00;1.4449000000000001e+00;1.4355000000000000e+00
4.1170999999999998e+02;3.7956999999999999e+02;3.4947000000000003e+02;3.2150000000000000e+02;2.9574000000000001e+02;2.7226999999999998e+02;1.6291999999999999e+02;2.2046000000000001e+00;2.0047999999999999e+00;1.6458999999999999e+00;1.4392000000000000e+00;1.4212000000000000e+00
4.1172000000000003e+02;3.7957999999999998e+02;3.4949000000000001e+02;3.2151999999999998e+02;2.9576999999999998e+02;2.7230000000000001e+02;1.6293000000000001e+02;2.2290000000000001e+00;2.0171000000000001e+00;1.6480999999999999e+00;1.4348000000000001e+00;1.4109000000000000e+00
4.1156000000000000e+02;3.7933999999999997e+02;3.4916000000000003e+02;3.2112000000000000e+02;2.9530000000000001e+02;2.7180000000000001e+02;1.6275000000000000e+02;1.8713000000000000e+00;1.8137000000000001e+00;1.5844000000000000e+00;1.4711000000000001e+00;1.5350999999999999e+00
4.1164999999999998e+02;3.7947000000000003e+02;3.4933999999999997e+02;3.2133999999999997e+02;2.9555000000000001e+02;2.7207999999999998e+02;1.6286000000000001e+02;2.0417000000000001e+00;1.9178999999999999e+00;1.6230000000000000e+00;1.4608000000000001e+00;1.4823999999999999e+00
4.1163000000000000e+02;3.7944000000000000e+02;3.4930000000000001e+02;3.2129000000000002e+02;2.9550000000000000e+02;2.7201999999999998e+02;1.6284000000000000e+02;2.0019000000000000e+00;1.8942000000000001e+00;1.6151000000000000e+00;1.4643999999999999e+00;1.4962000000000000e+00
4.1156999999999999e+02;3.7935000000000002e+02;3.4918000000000001e+02;3.2113999999999999e+02;2.9531999999999999e+02;2.7182999999999998e+02;1.6275999999999999e+02;1.8855999999999999e+00;1.8228000000000000e+00;1.5882000000000001e+00;1.4706999999999999e+00;1.5313000000000001e+00
4.1170999999999998e+02;3.7956000000000000e+02;3.4944999999999999e+02;3.2148000000000002e+02;2.9572000000000003e+02;2.7225000000000000e+02;1.6291000000000000e+02;2.1838000000000002e+00;1.9943000000000000e+00;1.6436999999999999e+00;1.4426000000000001e+00;1.4296000000000000e+00
4.1169000000000000e+02;3.7952999999999997e+02;3.4942000000000002e+02;3.2144000000000000e+02;2.9568000000000001e+02;2.7219999999999999e+02;1.6290000000000001e+02;2.1410000000000000e+00;1.9725999999999999e+00;1.6386000000000001e+00;1.4489000000000001e+00;1.4460000000000000e+00
4.1172000000000003e+02;3.7958999999999997e+02;3.4949000000000001e+02;3.2152999999999997e+02;2.9576999999999998e+02;2.7231000000000000e+02;1.6293000000000001e+02;2.2351000000000001e+00;2.0203000000000002e+00;1.6487000000000001e+00;1.4336000000000000e+00;1.4081999999999999e+00
4.1163999999999999e+02;3.7944999999999999e+02;3.4931000000000000e+02;3.2131000000000000e+02;2.9551999999999998e+02;2.7204000000000002e+02;1.6284000000000000e+02;2.0160000000000000e+00;1.9026000000000001e+00;1.6180000000000001e+00;1.4632000000000001e+00;1.4914000000000001e+00
4.1175999999999999e+02;3.7964999999999998e+02;3.4956999999999999e+02;3.2163000000000000e+02;2.9588999999999999e+02;2.7242000000000002e+02;1.6294999999999999e+02;2.3683000000000001e+00;2.0815999999999999e+00;1.6544000000000001e+00;1.4047000000000001e+00;1.3493999999999999e+00
4.1175999999999999e+02;3.7963000000000000e+02;3.4955000000000001e+02;3.2161000000000001e+02;2.9587000000000000e+02;2.7238999999999999e+02;1.6294999999999999e+02;2.3347000000000002e+00;2.0672999999999999e+00;1.6539999999999999e+00;1.4127000000000001e+00;1.3646000000000000e+00
4.1168000000000001e+02;3.7951999999999998e+02;3.4939999999999998e+02;3.2142000000000002e+02;2.9564999999999998e+02;2.7218000000000001e+02;1.6288999999999999e+02;2.1204000000000001e+00;1.9611000000000001e+00;1.6356999999999999e+00;1.4518000000000000e+00;1.4540999999999999e+00
4.1163000000000000e+02;3.7943000000000001e+02;3.4929000000000002e+02;3.2126999999999998e+02;2.9548000000000002e+02;2.7200000000000000e+02;1.6283000000000001e+02;1.9900000000000000e+00;1.8872000000000000e+00;1.6127000000000000e+00;1.4653000000000000e+00;1.5000000000000000e+00
