Time(min)   ;PG_00mm(MPa);Time(min)   ;PG_10mm(MPa);Time(min)   ;PG_20mm(MPa);Time(min)   ;PG_30mm(MPa);Time(min)   ;PG_40mm(MPa);Time(min)   ;PG_50mm(MPa);Time(min)   ;PG_120mm(MPa;
 0.0000E+000; 1.0132E-001; 0.0000E+000; 9.8556E-002; 0.0000E+000; 9.6582E-002; 0.0000E+000; 9.5208E-002; 0.0000E+000; 9.4308E-002; 0.0000E+000; 9.3799E-002; 0.0000E+000; 1.0132E-001;
 1.0000E+000; 1.0132E-001; 1.0000E+000; 8.6403E-002; 1.0000E+000; 9.6236E-002; 1.0000E+000; 9.5197E-002; 1.0000E+000; 9.4307E-002; 1.0000E+000; 9.3799E-002; 1.0000E+000; 1.0132E-001;
 2.0000E+000; 1.0132E-001; 2.0000E+000; 7.8798E-002; 2.0000E+000; 9.4088E-002; 2.0000E+000; 9.5061E-002; 2.0000E+000; 9.4298E-002; 2.0000E+000; 9.3798E-002; 2.0000E+000; 1.0132E-001;
 3.0000E+000; 1.0132E-001; 3.0000E+000; 9.3528E-002; 3.0000E+000; 8.5298E-002; 3.0000E+000; 9.4556E-002; 3.0000E+000; 9.4228E-002; 3.0000E+000; 9.3790E-002; 3.0000E+000; 1.0132E-001;
 4.0000E+000; 1.0132E-001; 4.0000E+000; 1.1191E-001; 4.0000E+000; 7.6631E-002; 4.0000E+000; 9.2334E-002; 4.0000E+000; 9.4021E-002; 4.0000E+000; 9.3753E-002; 4.0000E+000; 1.0132E-001;
 5.0000E+000; 1.0132E-001; 5.0000E+000; 1.3037E-001; 5.0000E+000; 7.1825E-002; 5.0000E+000; 8.6691E-002; 5.0000E+000; 9.3487E-002; 5.0000E+000; 9.3660E-002; 5.0000E+000; 1.0132E-001;
 6.0000E+000; 1.0132E-001; 6.0000E+000; 1.4905E-001; 6.0000E+000; 7.0197E-002; 6.0000E+000; 7.7780E-002; 6.0000E+000; 9.2089E-002; 6.0000E+000; 9.3470E-002; 6.0000E+000; 1.0132E-001;
 7.0000E+000; 1.0132E-001; 7.0000E+000; 1.6849E-001; 7.0000E+000; 7.0793E-002; 7.0000E+000; 6.7880E-002; 7.0000E+000; 8.8868E-002; 7.0000E+000; 9.3091E-002; 7.0000E+000; 1.0132E-001;
 8.0000E+000; 1.0132E-001; 8.0000E+000; 1.8912E-001; 8.0000E+000; 7.3032E-002; 8.0000E+000; 5.9432E-002; 8.0000E+000; 8.2720E-002; 8.0000E+000; 9.2305E-002; 8.0000E+000; 1.0132E-001;
 9.0000E+000; 1.0132E-001; 9.0000E+000; 2.1142E-001; 9.0000E+000; 7.6602E-002; 9.0000E+000; 5.3399E-002; 9.0000E+000; 7.3359E-002; 9.0000E+000; 9.0654E-002; 9.0000E+000; 1.0132E-001;
 1.0000E+001; 1.0132E-001; 1.0000E+001; 2.3610E-001; 1.0000E+001; 8.1400E-002; 1.0000E+001; 4.9663E-002; 1.0000E+001; 6.2368E-002; 1.0000E+001; 8.7326E-002; 1.0000E+001; 1.0132E-001;
 1.1000E+001; 1.0132E-001; 1.1000E+001; 2.6360E-001; 1.1000E+001; 8.7447E-002; 1.1000E+001; 4.7798E-002; 1.1000E+001; 5.2334E-002; 1.1000E+001; 8.1236E-002; 1.1000E+001; 1.0132E-001;
 1.2000E+001; 1.0132E-001; 1.2000E+001; 2.9428E-001; 1.2000E+001; 9.4785E-002; 1.2000E+001; 4.7399E-002; 1.2000E+001; 4.4723E-002; 1.2000E+001; 7.1812E-002; 1.2000E+001; 1.0132E-001;
 1.3000E+001; 1.0132E-001; 1.3000E+001; 3.2866E-001; 1.3000E+001; 1.0349E-001; 1.3000E+001; 4.8171E-002; 1.3000E+001; 3.9589E-002; 1.3000E+001; 6.0321E-002; 1.3000E+001; 1.0132E-001;
