Time(min)   ;T_00mm      ;Time(min)   ;T_10mm      ;Time(min)   ;T_20mm      ;Time(min)   ;T_30mm      ;Time(min)   ;T_40mm      ;Time(min)   ;T_50mm      ;Time(min)   ;T_120mm     ;
 0.0000E+000; 2.0014E+001; 0.0000E+000; 2.0014E+001; 0.0000E+000; 2.0015E+001; 0.0000E+000; 2.0015E+001; 0.0000E+000; 2.0015E+001; 0.0000E+000; 2.0016E+001; 0.0000E+000; 2.0014E+001;
 1.0000E+000; 6.2995E+001; 1.0000E+000; 2.6196E+001; 1.0000E+000; 2.0281E+001; 1.0000E+000; 2.0015E+001; 1.0000E+000; 2.0015E+001; 1.0000E+000; 2.0016E+001; 1.0000E+000; 1.9323E+001;
 2.0000E+000; 8.0157E+001; 2.0000E+000; 3.7143E+001; 2.0000E+000; 2.3152E+001; 2.0000E+000; 2.0380E+001; 2.0000E+000; 2.0044E+001; 2.0000E+000; 2.0017E+001; 2.0000E+000; 1.9191E+001;
 3.0000E+000; 9.2372E+001; 3.0000E+000; 4.7126E+001; 3.0000E+000; 2.7592E+001; 3.0000E+000; 2.1582E+001; 3.0000E+000; 2.0256E+001; 3.0000E+000; 2.0044E+001; 3.0000E+000; 1.9149E+001;
 4.0000E+000; 1.0189E+002; 4.0000E+000; 5.5880E+001; 4.0000E+000; 3.2609E+001; 4.0000E+000; 2.3537E+001; 4.0000E+000; 2.0796E+001; 4.0000E+000; 2.0154E+001; 4.0000E+000; 1.9148E+001;
 5.0000E+000; 1.0993E+002; 5.0000E+000; 6.3589E+001; 5.0000E+000; 3.7728E+001; 5.0000E+000; 2.6017E+001; 5.0000E+000; 2.1697E+001; 5.0000E+000; 2.0406E+001; 5.0000E+000; 1.9166E+001;
 6.0000E+000; 1.1711E+002; 6.0000E+000; 7.0507E+001; 6.0000E+000; 4.2749E+001; 6.0000E+000; 2.8821E+001; 6.0000E+000; 2.2923E+001; 6.0000E+000; 2.0832E+001; 6.0000E+000; 1.9194E+001;
 7.0000E+000; 1.2374E+002; 7.0000E+000; 7.6843E+001; 7.0000E+000; 4.7605E+001; 7.0000E+000; 3.1809E+001; 7.0000E+000; 2.4414E+001; 7.0000E+000; 2.1439E+001; 7.0000E+000; 1.9227E+001;
 8.0000E+000; 1.3000E+002; 8.0000E+000; 8.2745E+001; 8.0000E+000; 5.2288E+001; 8.0000E+000; 3.4896E+001; 8.0000E+000; 2.6112E+001; 8.0000E+000; 2.2219E+001; 8.0000E+000; 1.9260E+001;
 9.0000E+000; 1.3595E+002; 9.0000E+000; 8.8313E+001; 9.0000E+000; 5.6807E+001; 9.0000E+000; 3.8027E+001; 9.0000E+000; 2.7966E+001; 9.0000E+000; 2.3154E+001; 9.0000E+000; 1.9293E+001;
 1.0000E+001; 1.4168E+002; 1.0000E+001; 9.3612E+001; 1.0000E+001; 6.1179E+001; 1.0000E+001; 4.1172E+001; 1.0000E+001; 2.9935E+001; 1.0000E+001; 2.4225E+001; 1.0000E+001; 1.9325E+001;
 1.1000E+001; 1.4720E+002; 1.1000E+001; 9.8693E+001; 1.1000E+001; 6.5421E+001; 1.1000E+001; 4.4313E+001; 1.1000E+001; 3.1991E+001; 1.1000E+001; 2.5412E+001; 1.1000E+001; 1.9357E+001;
 1.2000E+001; 1.5256E+002; 1.2000E+001; 1.0359E+002; 1.2000E+001; 6.9548E+001; 1.2000E+001; 4.7438E+001; 1.2000E+001; 3.4111E+001; 1.2000E+001; 2.6697E+001; 1.2000E+001; 1.9388E+001;
 1.3000E+001; 1.5776E+002; 1.3000E+001; 1.0834E+002; 1.3000E+001; 7.3573E+001; 1.3000E+001; 5.0544E+001; 1.3000E+001; 3.6279E+001; 1.3000E+001; 2.8065E+001; 1.3000E+001; 1.9419E+001;
 1.4000E+001; 1.6282E+002; 1.4000E+001; 1.1295E+002; 1.4000E+001; 7.7506E+001; 1.4000E+001; 5.3624E+001; 1.4000E+001; 3.8482E+001; 1.4000E+001; 2.9501E+001; 1.4000E+001; 1.9451E+001;
 1.5000E+001; 1.6775E+002; 1.5000E+001; 1.1743E+002; 1.5000E+001; 8.1357E+001; 1.5000E+001; 5.6680E+001; 1.5000E+001; 4.0713E+001; 1.5000E+001; 3.0995E+001; 1.5000E+001; 1.9487E+001;
 1.6000E+001; 1.7253E+002; 1.6000E+001; 1.2180E+002; 1.6000E+001; 8.5131E+001; 1.6000E+001; 5.9708E+001; 1.6000E+001; 4.2963E+001; 1.6000E+001; 3.2538E+001; 1.6000E+001; 1.9526E+001;
 1.7000E+001; 1.7719E+002; 1.7000E+001; 1.2607E+002; 1.7000E+001; 8.8833E+001; 1.7000E+001; 6.2709E+001; 1.7000E+001; 4.5228E+001; 1.7000E+001; 3.4125E+001; 1.7000E+001; 1.9572E+001;
 1.8000E+001; 1.8172E+002; 1.8000E+001; 1.3023E+002; 1.8000E+001; 9.2467E+001; 1.8000E+001; 6.5681E+001; 1.8000E+001; 4.7502E+001; 1.8000E+001; 3.5747E+001; 1.8000E+001; 1.9624E+001;
 1.9000E+001; 1.8613E+002; 1.9000E+001; 1.3429E+002; 1.9000E+001; 9.6037E+001; 1.9000E+001; 6.8626E+001; 1.9000E+001; 4.9783E+001; 1.9000E+001; 3.7402E+001; 1.9000E+001; 1.9685E+001;
 2.0000E+001; 1.9042E+002; 2.0000E+001; 1.3826E+002; 2.0000E+001; 9.9544E+001; 2.0000E+001; 7.1542E+001; 2.0000E+001; 5.2066E+001; 2.0000E+001; 3.9083E+001; 2.0000E+001; 1.9757E+001;
 2.1000E+001; 1.9459E+002; 2.1000E+001; 1.4213E+002; 2.1000E+001; 1.0299E+002; 2.1000E+001; 7.4429E+001; 2.1000E+001; 5.4351E+001; 2.1000E+001; 4.0788E+001; 2.1000E+001; 1.9839E+001;
 2.2000E+001; 1.9865E+002; 2.2000E+001; 1.4591E+002; 2.2000E+001; 1.0638E+002; 2.2000E+001; 7.7286E+001; 2.2000E+001; 5.6633E+001; 2.2000E+001; 4.2512E+001; 2.2000E+001; 1.9935E+001;
 2.3000E+001; 2.0259E+002; 2.3000E+001; 1.4960E+002; 2.3000E+001; 1.0971E+002; 2.3000E+001; 8.0113E+001; 2.3000E+001; 5.8911E+001; 2.3000E+001; 4.4253E+001; 2.3000E+001; 2.0045E+001;
 2.4000E+001; 2.0643E+002; 2.4000E+001; 1.5321E+002; 2.4000E+001; 1.1298E+002; 2.4000E+001; 8.2910E+001; 2.4000E+001; 6.1184E+001; 2.4000E+001; 4.6008E+001; 2.4000E+001; 2.0170E+001;
