"CEM";"AGGR";"WC";"SC"
3.9058758880742164e+02;1.9836605393339748e+03;3.5665692466119914e-01;1.0830154848078530e-01
3.4919260833798256e+02;1.9597652922364500e+03;3.7597402255172074e-01;9.2585468971800006e-02
3.8813282615923367e+02;1.9026431949076905e+03;3.7227067669217534e-01;1.1376769509270451e-01
3.7498924627231895e+02;1.8595995850796710e+03;3.4906392899645611e-01;1.0119217048247622e-01
3.9655915247980454e+02;1.9472593487892304e+03;3.0299340049901469e-01;9.4863099903425507e-02
3.7364906023800012e+02;1.9894176330279274e+03;3.2171305352238549e-01;8.9723286903397315e-02
3.8019527741793655e+02;2.0059716635903983e+03;3.1132153791461903e-01;8.2103879771463870e-02
3.8330288917313084e+02;1.9042625083074440e+03;3.5554744341848482e-01;1.0491838703722364e-01
3.7582135723293527e+02;1.8928280568492664e+03;3.6226985333491046e-01;1.1972082522449325e-01
3.7254018957521549e+02;1.8487744462840512e+03;3.0726871600613453e-01;8.0012400845799386e-02
3.6157637515162838e+02;1.9238567875008557e+03;3.4092199756090480e-01;1.1702010744974069e-01
3.7903172982906710e+02;1.7942998056180577e+03;3.5967652515275772e-01;8.5438783354001416e-02
3.7770797712077649e+02;1.8662675396827460e+03;3.1778983468125688e-01;1.0354405743235616e-01
3.5897625868848201e+02;1.8972876836907674e+03;3.3960859438933455e-01;8.8321603836026552e-02
3.6771135518189806e+02;1.8745782983459706e+03;3.6883999376494514e-01;9.4585372200953616e-02
3.8611502197787559e+02;1.9092321701664098e+03;3.5152247238990225e-01;9.1002212764214052e-02
3.5640090993271258e+02;1.9415640217474893e+03;3.2896035915984528e-01;1.1513543117980277e-01
3.9559412469923632e+02;1.9267384796099695e+03;3.6528342929544305e-01;1.0240346082068226e-01
3.6545975371407599e+02;1.8821485446424365e+03;3.1494011189887328e-01;8.4646563971399580e-02
4.0555533869509833e+02;1.9295893982011357e+03;3.4328175544217115e-01;1.1310348508314749e-01
3.8400168160814155e+02;1.8849513817017955e+03;3.4596540276794646e-01;1.1167704641669299e-01
3.6931892741131151e+02;1.9367005775848584e+03;3.7073125077847502e-01;9.8647056329213889e-02
3.8209548940325425e+02;1.9171171827005114e+03;3.3528363939408512e-01;9.9259641812213154e-02
3.6285235491786267e+02;1.9370707010730830e+03;3.1924287612841090e-01;1.0613105058461653e-01
3.5302154626905485e+02;1.9744385607349084e+03;3.0022178280088679e-01;1.0993847392920061e-01
3.9255765572296406e+02;1.8287591836395245e+03;3.3246159917129270e-01;1.1758020201097741e-01
3.6742029144180952e+02;1.9137286538109859e+03;3.2472435809433209e-01;8.7521700928588297e-02
3.8721783668667246e+02;1.9624111210220080e+03;3.3146962737899421e-01;1.0686132986086673e-01
4.0314716107247858e+02;1.9542791006265661e+03;3.0902439411198673e-01;9.6616195290393489e-02
3.7071217088875534e+02;2.0150687687454276e+03;3.7937785154106934e-01;8.2932657309014959e-02
