"T_00_Max";"T_10_Max";"T_20_Max";"T_30_Max";"T_40_Max";"T_50_Max";"T_120_Max";"Pg_10_Max";"Pg_20_Max";"Pg_30_Max";"Pg_40_Max";"Pg_50_Max"
4.1191000000000003e+02;3.7985000000000002e+02;3.4981999999999999e+02;3.2192000000000002e+02;2.9622000000000003e+02;2.7281999999999999e+02;1.6358000000000001e+02;2.1856000000000000e+00;2.0124000000000000e+00;1.6558999999999999e+00;1.5324000000000000e+00;1.5290999999999999e+00
4.1172000000000003e+02;3.7958999999999997e+02;3.4949000000000001e+02;3.2151999999999998e+02;2.9579000000000002e+02;2.7238999999999999e+02;1.6319999999999999e+02;2.1602999999999999e+00;2.0105000000000000e+00;1.6674000000000000e+00;1.6142000000000001e+00;1.6055999999999999e+00
4.1200999999999999e+02;3.8000000000000000e+02;3.5001999999999998e+02;3.2214999999999998e+02;2.9649000000000001e+02;2.7313999999999999e+02;1.6394999999999999e+02;2.2263000000000002e+00;2.0466000000000002e+00;1.6697000000000000e+00;1.6046000000000000e+00;1.5960000000000001e+00
4.1173000000000002e+02;3.7960000000000002e+02;3.4950000000000000e+02;3.2152999999999997e+02;2.9577999999999997e+02;2.7233999999999997e+02;1.6308000000000001e+02;2.1351000000000000e+00;1.9774000000000000e+00;1.6449000000000000e+00;1.4945999999999999e+00;1.4958000000000000e+00
4.1150999999999999e+02;3.7926999999999998e+02;3.4907999999999998e+02;3.2102999999999997e+02;2.9519000000000000e+02;2.7163000000000000e+02;1.6225999999999999e+02;2.0299999999999998e+00;1.8777999999999999e+00;1.5873999999999999e+00;1.2820000000000000e+00;1.2931999999999999e+00
4.1150999999999999e+02;3.7926999999999998e+02;3.4907999999999998e+02;3.2104000000000002e+02;2.9520999999999998e+02;2.7168000000000001e+02;1.6234999999999999e+02;2.0486000000000000e+00;1.9036000000000000e+00;1.6079000000000001e+00;1.3647000000000000e+00;1.3754000000000000e+00
4.1147000000000003e+02;3.7919999999999999e+02;3.4899000000000001e+02;3.2093000000000001e+02;2.9508999999999997e+02;2.7152999999999997e+02;1.6218000000000001e+02;2.0249000000000001e+00;1.8806000000000000e+00;1.5931000000000000e+00;1.3138000000000001e+00;1.3263000000000000e+00
4.1183999999999997e+02;3.7975999999999999e+02;3.4969999999999999e+02;3.2177999999999997e+02;2.9606000000000000e+02;2.7264999999999998e+02;1.6341000000000000e+02;2.1697000000000002e+00;2.0019000000000000e+00;1.6535000000000000e+00;1.5257000000000001e+00;1.5237000000000001e+00
4.1185000000000002e+02;3.7976999999999998e+02;3.4972000000000003e+02;3.2179000000000002e+02;2.9607999999999998e+02;2.7269000000000000e+02;1.6347000000000000e+02;2.1798999999999999e+00;2.0137999999999998e+00;1.6607000000000001e+00;1.5621000000000000e+00;1.5579000000000001e+00
4.1138999999999999e+02;3.7907999999999998e+02;3.4883999999999997e+02;3.2075999999999999e+02;2.9488999999999999e+02;2.7131000000000000e+02;1.6194999999999999e+02;1.9971000000000001e+00;1.8605000000000000e+00;1.5835999999999999e+00;1.2945000000000000e+00;1.3091999999999999e+00
4.1158999999999997e+02;3.7938999999999999e+02;3.4923000000000002e+02;3.2122000000000003e+02;2.9543000000000001e+02;2.7194999999999999e+02;1.6266999999999999e+02;2.0939999999999999e+00;1.9470000000000001e+00;1.6339999999999999e+00;1.4645999999999999e+00;1.4695000000000000e+00
4.1182999999999998e+02;3.7974000000000001e+02;3.4968000000000001e+02;3.2174000000000001e+02;2.9601999999999998e+02;2.7261000000000001e+02;1.6338000000000000e+02;2.1676000000000002e+00;2.0026999999999999e+00;1.6552000000000000e+00;1.5362000000000000e+00;1.5335000000000001e+00
4.1151999999999998e+02;3.7927999999999997e+02;3.4908999999999997e+02;3.2105000000000001e+02;2.9523000000000002e+02;2.7169000000000000e+02;1.6236000000000001e+02;2.0485000000000002e+00;1.9012000000000000e+00;1.6053999999999999e+00;1.3529000000000000e+00;1.3637999999999999e+00
4.1154000000000002e+02;3.7931999999999999e+02;3.4913999999999999e+02;3.2112000000000000e+02;2.9531000000000000e+02;2.7181000000000000e+02;1.6252000000000001e+02;2.0752999999999999e+00;1.9336000000000000e+00;1.6278999999999999e+00;1.4463999999999999e+00;1.4528000000000001e+00
4.1181999999999999e+02;3.7972000000000003e+02;3.4966000000000003e+02;3.2172000000000003e+02;2.9600999999999999e+02;2.7261000000000001e+02;1.6341000000000000e+02;2.1757000000000000e+00;2.0146999999999999e+00;1.6636000000000000e+00;1.5814999999999999e+00;1.5758000000000001e+00
4.1181999999999999e+02;3.7973000000000002e+02;3.4967000000000002e+02;3.2173000000000002e+02;2.9600000000000000e+02;2.7256999999999999e+02;1.6331999999999999e+02;2.1585000000000001e+00;1.9916000000000000e+00;1.6484000000000001e+00;1.5016000000000000e+00;1.5011000000000001e+00
4.1147000000000003e+02;3.7920999999999998e+02;3.4900000000000000e+02;3.2094999999999999e+02;2.9512000000000000e+02;2.7160000000000002e+02;1.6228999999999999e+02;2.0484000000000000e+00;1.9107000000000001e+00;1.6162000000000001e+00;1.4097000000000000e+00;1.4193000000000000e+00
4.1200000000000000e+02;3.8000000000000000e+02;3.5000999999999999e+02;3.2213000000000000e+02;2.9645999999999998e+02;2.7310000000000002e+02;1.6388999999999999e+02;2.2161000000000000e+00;2.0350999999999999e+00;1.6636000000000000e+00;1.5690000000000000e+00;1.5624000000000000e+00
4.1139999999999998e+02;3.7911000000000001e+02;3.4888000000000000e+02;3.2080000000000001e+02;2.9494000000000000e+02;2.7138000000000000e+02;1.6203999999999999e+02;2.0112000000000001e+00;1.8753000000000000e+00;1.5938000000000001e+00;1.3318000000000001e+00;1.3455999999999999e+00
4.1191000000000003e+02;3.7986000000000001e+02;3.4983999999999997e+02;3.2193000000000001e+02;2.9622000000000003e+02;2.7280000000000001e+02;1.6353000000000000e+02;2.1739000000000002e+00;1.9954000000000001e+00;1.6447000000000001e+00;1.4749000000000001e+00;1.4737000000000000e+00
4.1177999999999997e+02;3.7967000000000002e+02;3.4958999999999997e+02;3.2163999999999999e+02;2.9589999999999998e+02;2.7245999999999998e+02;1.6319999999999999e+02;2.1456000000000000e+00;1.9816000000000000e+00;1.6443000000000001e+00;1.4851000000000001e+00;1.4862000000000000e+00
4.1183999999999997e+02;3.7975999999999999e+02;3.4970999999999998e+02;3.2177999999999997e+02;2.9607999999999998e+02;2.7269000000000000e+02;1.6349000000000001e+02;2.1846000000000001e+00;2.0215000000000001e+00;1.6658999999999999e+00;1.5915999999999999e+00;1.5850000000000000e+00
4.1168000000000001e+02;3.7951999999999998e+02;3.4938999999999999e+02;3.2141000000000003e+02;2.9563000000000000e+02;2.7214999999999998e+02;1.6286000000000001e+02;2.1074999999999999e+00;1.9498000000000000e+00;1.6297999999999999e+00;1.4310000000000000e+00;1.4361999999999999e+00
