JOURS       ;MICRON/METER;
 0.0000E+000; 0.0000E+000;
 1.0000E+000;-1.0876E+001;
 2.0000E+000;-2.2950E+001;
 3.0000E+000;-3.2733E+001;
 4.0000E+000;-4.0336E+001;
 5.0000E+000;-4.6300E+001;
 6.0000E+000;-5.1076E+001;
 7.0000E+000;-5.4981E+001;
 8.0000E+000;-5.8235E+001;
 9.0000E+000;-6.0990E+001;
 1.0000E+001;-6.3356E+001;
 1.1000E+001;-6.5412E+001;
 1.2000E+001;-6.7218E+001;
 1.3000E+001;-6.8817E+001;
 1.4000E+001;-7.0245E+001;
 1.5000E+001;-7.1529E+001;
 1.6000E+001;-7.2690E+001;
 1.7000E+001;-7.3746E+001;
 1.8000E+001;-7.4711E+001;
 1.9000E+001;-7.5596E+001;
 2.0000E+001;-7.6412E+001;
 2.1000E+001;-7.7166E+001;
 2.2000E+001;-7.7866E+001;
 2.3000E+001;-7.8518E+001;
 2.4000E+001;-7.9126E+001;
 2.5000E+001;-7.9695E+001;
 2.6000E+001;-8.0228E+001;
 2.7000E+001;-8.0730E+001;
 2.8000E+001;-8.1202E+001;
 2.9000E+001;-8.1648E+001;
 3.0000E+001;-8.2069E+001;
 3.1000E+001;-8.2468E+001;
 3.2000E+001;-8.2846E+001;
 3.3000E+001;-8.3205E+001;
 3.4000E+001;-8.3547E+001;
 3.5000E+001;-8.3873E+001;
 3.6000E+001;-8.4183E+001;
 3.7000E+001;-8.4480E+001;
 3.8000E+001;-8.4763E+001;
 3.9000E+001;-8.5034E+001;
 4.0000E+001;-8.5294E+001;
 4.1000E+001;-8.5542E+001;
 4.2000E+001;-8.5781E+001;
 4.3000E+001;-8.6011E+001;
 4.4000E+001;-8.6231E+001;
 4.5000E+001;-8.6443E+001;
 4.6000E+001;-8.6647E+001;
 4.7000E+001;-8.6844E+001;
 4.8000E+001;-8.7034E+001;
 4.9000E+001;-8.7217E+001;
 5.0000E+001;-8.7393E+001;
 5.1000E+001;-8.7564E+001;
 5.2000E+001;-8.7729E+001;
 5.3000E+001;-8.7888E+001;
 5.4000E+001;-8.8043E+001;
 5.5000E+001;-8.8192E+001;
 5.6000E+001;-8.8337E+001;
 5.7000E+001;-8.8477E+001;
 5.8000E+001;-8.8613E+001;
 5.9000E+001;-8.8745E+001;
 6.0000E+001;-8.8873E+001;
 6.1000E+001;-8.8997E+001;
 6.2000E+001;-8.9118E+001;
 6.3000E+001;-8.9235E+001;
 6.4000E+001;-8.9349E+001;
 6.5000E+001;-8.9460E+001;
 6.6000E+001;-8.9568E+001;
 6.7000E+001;-8.9673E+001;
 6.8000E+001;-8.9775E+001;
 6.9000E+001;-8.9875E+001;
 7.0000E+001;-8.9972E+001;
 7.1000E+001;-9.0066E+001;
 7.2000E+001;-9.0158E+001;
 7.3000E+001;-9.0248E+001;
 7.4000E+001;-9.0335E+001;
 7.5000E+001;-9.0421E+001;
 7.6000E+001;-9.0504E+001;
 7.7000E+001;-9.0586E+001;
 7.8000E+001;-9.0665E+001;
 7.9000E+001;-9.0743E+001;
 8.0000E+001;-9.0818E+001;
 8.1000E+001;-9.0892E+001;
 8.2000E+001;-9.0965E+001;
 8.3000E+001;-9.1035E+001;
 8.4000E+001;-9.1104E+001;
 8.5000E+001;-9.1172E+001;
 8.6000E+001;-9.1238E+001;
 8.7000E+001;-9.1303E+001;
 8.8000E+001;-9.1366E+001;
 8.9000E+001;-9.1428E+001;
 9.0000E+001;-9.1489E+001;
 9.1000E+001;-9.1548E+001;
 9.2000E+001;-9.1606E+001;
 9.3000E+001;-9.1663E+001;
 9.4000E+001;-9.1719E+001;
 9.5000E+001;-9.1774E+001;
 9.6000E+001;-9.1828E+001;
 9.7000E+001;-9.1880E+001;
 9.8000E+001;-9.1932E+001;
 9.9000E+001;-9.1982E+001;
 1.0000E+002;-9.2032E+001;
 1.0100E+002;-9.2080E+001;
 1.0200E+002;-9.2128E+001;
 1.0300E+002;-9.2174E+001;
 1.0400E+002;-9.2220E+001;
 1.0500E+002;-9.2265E+001;
 1.0600E+002;-9.2309E+001;
 1.0700E+002;-9.2353E+001;
 1.0800E+002;-9.2395E+001;
 1.0900E+002;-9.2437E+001;
 1.1000E+002;-9.2478E+001;
 1.1100E+002;-9.2518E+001;
 1.1200E+002;-9.2558E+001;
 1.1300E+002;-9.2597E+001;
 1.1400E+002;-9.2635E+001;
 1.1500E+002;-9.2672E+001;
 1.1600E+002;-9.2709E+001;
 1.1700E+002;-9.2745E+001;
 1.1800E+002;-9.2781E+001;
 1.1900E+002;-9.2816E+001;
 1.2000E+002;-9.2850E+001;
