days;C1_LHS_mean;C2_ALEA_mean
0;0;0
1;-7.30527;-7.62324
2;-17.017;-17.6163
3;-25.5253;-26.3156
4;-32.5085;-33.416
5;-38.2172;-39.1932
6;-42.9377;-43.9511
7;-46.8977;-47.9294
8;-50.2673;-51.3052
9;-53.1718;-54.2075
10;-55.7036;-56.7325
11;-57.9329;-58.9512
12;-59.9126;-60.9186
13;-61.6844;-62.6766
14;-63.2808;-64.2581
15;-64.7277;-65.69
16;-66.0462;-66.9933
17;-67.2535;-68.1853
18;-68.3636;-69.2805
19;-69.3884;-70.2904
20;-70.338;-71.2253
21;-71.2206;-72.0937
22;-72.0433;-72.9026
23;-72.8126;-73.6583
24;-73.5334;-74.366
25;-74.2105;-75.0304
26;-74.8481;-75.6555
27;-75.4495;-76.2447
28;-76.0178;-76.8014
29;-76.5559;-77.328
30;-77.0663;-77.8274
31;-77.5511;-78.3014
32;-78.012;-78.752
33;-78.4512;-79.181
34;-78.87;-79.59
35;-79.2701;-79.9804
36;-79.6525;-80.3537
37;-80.0185;-80.7106
38;-80.3692;-81.0525
39;-80.7056;-81.3802
40;-81.0284;-81.6948
41;-81.3386;-81.9969
42;-81.6369;-82.2874
43;-81.9242;-82.5669
44;-82.2008;-82.836
45;-82.4674;-83.0953
46;-82.7246;-83.3454
47;-82.9729;-83.5868
48;-83.2127;-83.8197
49;-83.4445;-84.0449
50;-83.6687;-84.2626
51;-83.8857;-84.4733
52;-84.096;-84.6773
53;-84.2994;-84.8749
54;-84.4968;-85.0664
55;-84.6881;-85.2519
56;-84.8738;-85.4319
57;-85.0542;-85.6067
58;-85.2293;-85.7764
59;-85.3994;-85.9412
60;-85.5648;-86.1015
61;-85.7255;-86.2571
62;-85.8821;-86.4088
63;-86.0343;-86.5561
64;-86.1825;-86.6996
65;-86.327;-86.8393
66;-86.4677;-86.9754
67;-86.6049;-87.1081
68;-86.7385;-87.2374
69;-86.869;-87.3634
70;-86.9962;-87.4864
71;-87.1204;-87.6064
72;-87.2416;-87.7235
73;-87.36;-87.8379
74;-87.4756;-87.9495
75;-87.5885;-88.0586
76;-87.6991;-88.1652
77;-87.8069;-88.2693
78;-87.9125;-88.3713
79;-88.0157;-88.4709
80;-88.1166;-88.5682
81;-88.2153;-88.6635
82;-88.3121;-88.7567
83;-88.4067;-88.848
84;-88.4995;-88.9375
85;-88.5902;-89.0249
86;-88.6792;-89.1106
87;-88.7663;-89.1945
88;-88.8518;-89.2768
89;-88.9354;-89.3574
90;-89.0176;-89.4365
91;-89.0979;-89.5138
92;-89.1769;-89.5898
93;-89.2543;-89.6644
94;-89.3303;-89.7375
95;-89.4048;-89.8091
96;-89.4781;-89.8795
97;-89.5499;-89.9486
98;-89.6203;-90.0164
99;-89.6896;-90.083
100;-89.7575;-90.1483
101;-89.8243;-90.2124
102;-89.89;-90.2755
103;-89.9543;-90.3374
104;-90.0177;-90.3982
105;-90.0799;-90.458
106;-90.1411;-90.5167
107;-90.2012;-90.5744
108;-90.2604;-90.6312
109;-90.3184;-90.6869
110;-90.3754;-90.7418
111;-90.4318;-90.7957
112;-90.4872;-90.8488
113;-90.5416;-90.901
114;-90.5951;-90.9522
115;-90.6478;-91.0029
116;-90.6996;-91.0526
117;-90.7505;-91.1015
118;-90.8009;-91.1495
119;-90.8503;-91.1968
120;-90.899;-91.2435
